OBJECTID,CIP_ID,MAJOR_SECT,PROJECT_CL,RESPONSIBL,CIP_TITLE,SHAPEarea,SHAPElen
1,6-604,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,WITCHDUCK ROAD - PHASE II SEWER IMPROVEMENTS,90932.29559405,2163.58152484446
2,2-025,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,WITCHDUCK ROAD - PHASE II (FIRST CITIES PROJECT),90932.29559405,2163.58152484446
3,3-344,SAFE COMMUNITY,,POLICE,POLICE - FOURTH PRECINCT REPLACEMENT (PARTIAL),61343.89993423,1039.14468310623
4,6-602,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,PRINCESS ANNE RD/ KEMPSVILLE RD IMPROVEMENTS,762769.181609165,3096.01494471773
5,3-021,SAFE COMMUNITY,,FIRE,FIRE AND RESCUE STATION - THALIA,13058.30398442,475.834190310314
6,9-083,ECONOMIC VITALITY,,ECONOMIC DEVELOPMENT,TOWN CENTER GARAGE AND PLAZA CAPITAL MAINTENANCE,28243.060772695,809.224723008397
7,2-156,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LASKIN ROAD - PHASE I,220340.73133388,7464.6887573891
8,5-207,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LASKIN ROAD WATER IMPROVEMENTS - PH I,220340.73133388,7464.6887573891
9,2-165,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LASKIN ROAD - PHASE II,30414.641272315,1255.98113264246
10,1-233,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,OLD DONATION CENTER MODERNIZATION,83044.023125195,1155.96270013618
11,7-153,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,LYNNHAVEN WATERSHED RESTORATION,280284223.372778,85021.9976507925
12,7-151,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,EASTERN SHORE DRIVE DRAINAGE,2292810.3950599,8771.43616931014
13,1-035,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,JOHN B DEY ELEMENTARY SCHOOL MODERNIZATION,75154.712834595,1153.40973946468
14,7-036,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,BAKER ROAD CULVERT AND DITCH IMPROVEMENTS,2757.05971541,706.545724070071
15,3-244,SAFE COMMUNITY,,FIRE,FIRE AND RESCUE STATION - CHESAPEAKE BEACH,7915.894494345,345.473797573228
16,7-038,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,THROUGHGOOD,5260305.7347478,15024.3873927181
