X,Y,OBJECTID,LOCATION,ADDRESS,PHONE,FAX,WEBSITE,TYPE,CAPACITY,CONTACT,EMERGENCY_,SHELTER_PH,DIV_BUREAU
-76.26292059075908,36.883505465015432,1,LAFAYETTE-WINONA MIDDLE SCHOOL,1701 Alsace Avenue,628-2477,628-2486,http://www.nps.k12.va.us/schools/LWMS,Middle School,0,Clifton Harrison,N, ,Public Schools
-76.303255909774506,36.87897389259625,2,MADISON CAREER CENTER,3700 Bowden Ferry Road,628-3403,628-3406, ,Special Purpose School,1000,Julia Avery Muse,Y,628-3417,Public Schools
-76.209399329195463,36.917157126219649,3,LITTLE CREEK ELEMENTARY SCHOOL,7900 Tarpon Pl,531-3080,531-3083,http://www.nps.k12.va.us/schools/littlecreekelem,Elementary School,0,Michele Logan,N, ,Public Schools
-76.250653121884909,36.910656361505467,4,OAKWOOD BUILDING,900 Asbury Ave,,,,General,0,,, ,General
-76.268214374010981,36.905657572979109,5,SUBURBAN PARK ELEMENTARY SCHOOL,310 Thole St,531-3118,531-3120,http://www.nps.k12.va.us/schools/es/subpark,Elementary School,0,Jan Root,N, ,Public Schools
-76.305483631084371,36.915620624557796,6,MEADOWBROOK BUILDING,7620 Shirland Avenue,,,,General,0,,, ,General
-76.296817959564066,36.92886580616458,7,CAMP ALLEN ELEMENTARY SCHOOL,501 C St,451-4170,451-4172,http://www.nps.k12.va.us/schools/campallen,Elementary School,0,Irene Newsome,N, ,Public Schools
-76.221875485984299,36.912116092166649,8,LARRYMORE ELEMENTARY SCHOOL,7600 Halprin Dr,531-3070,531-3071,http://www.nps.k12.va.us/schools/es/larrymore,Elementary School,0,Thomas McAnulty,N, ,Public Schools
-76.233404663573651,36.900214406034515,9,TANNERS CREEK ELEMENTARY SCHOOL,1335 Longdale Drive,852-4555,852-4553,http://www.nps.k12.va.us/schools/tancrkes,Elementary School,0,Kathleen Mein,N, ,Public Schools
-76.241505792094614,36.869410611341692,10,COLEMAN PLACE ELEMENTARY SCHOOL,2450 Rush St,852-4641,852-4648,http://www.nps.k12.va.us/schools/es/coleman,Elementary School,0,Jeanne Tomlinson,N, ,Public Schools
-76.270641553561546,36.868767933044722,11,LINDENWOOD ELEMENTARY SCHOOL,2700 Ludlow,628-2577,628-2576,http://www.nps.k12.va.us/schools/lindenwood,Elementary School,0,Pamela Hunter,N, ,Public Schools
-76.29018039487795,36.875649732577997,12,MONROE ELEMENTARY SCHOOL,520 W. 29th St,628-3500,628-3563,http://www.nps.k12.va.us/schools/monroe,Elementary School,0,Patricia Wyche,N, ,Public Schools
-76.251237148254347,36.844497794167275,13,CHESTERFIELD ACADEMY,2915 Westminister Ave,628-2544,628-2541,http://www.nps.k12.va.us/schools/chesterfield,Elementary School,0,"Sterling White, Jr.",N, ,Public Schools
-76.194231757863051,36.857207887032587,14,FAIRLAWN ELEMENTARY SCHOOL,1132 Wade St,892-3260,892-3255,http://www.nps.k12.va.us/schools/es/fairlawn,Elementary School,0,Mona Gunn,N, ,Public Schools
-76.261917679314735,36.95799239388851,15,WILLOUGHBY ELEMENTARY SCHOOL,9500 4th View St,531-3126,531-3125,http://www.nps.k12.va.us/schools/es/willoughby,Elementary School,0,Christina Boone,N, ,Public Schools
-76.259965853108525,36.955345225873977,16,OCEAN VIEW ELEMENTARY SCHOOL,9501 Mason Creek Rd,531-3105,531-3111,http://www.nps.k12.va.us/schools/es/oceanv,Elementary School,0,Lauren Campsen,N, ,Public Schools
-76.26196801795065,36.936499826835458,17,NORTHSIDE MIDDLE SCHOOL,8720 Granby Street,531-3150,531-3144,http://www.nps.k12.va.us/schools/northsidems,Middle School,400,Andrea Tottossy,Y,531-3150,Public Schools
-76.280868537909583,36.907870839247465,18,GRANBY ELEMENTARY SCHOOL,7101 Newport Avenue,451-4150,451-4157,http://www.nps.k12.va.us/schools/es/granby,Elementary School,0,"N. George Boothby, Jr.",N, ,Public Schools
-76.277328529532227,36.907107059823112,19,GRANBY HIGH SCHOOL,7101 Granby Street,451-4110,451-4118,http://www.nps.k12.va.us/schools/GranbyHS,High School,2000,Ted Daughtrey,Y,451-4110,Public Schools
-76.253081161228238,36.918312900614204,20,CROSSROADS ELEMENTARY SCHOOL,7920 Tidewater Drive,531-3050,531-3046,http://www.nps.k12.va.us/schools/crossroads,Elementary School,400,Mary Beers,Y,531-3050,Public Schools
-76.221323042269674,36.925663061679039,21,TARRALLTON ELEMENTARY SCHOOL,2080 Tarrallton Drive,531-1800,531-1802,http://www.nps.k12.va.us/schools/es/tarrallton,Elementary School,575,Diane Gibson,Y,531-1800,Public Schools
-76.210969047574139,36.911442953466143,22,AZALEA GARDENS MIDDLE SCHOOL,7721 Azalea Garden Road,531-3000,531-3013,http://www.nps.k12.va.us/schools/agms,Middle School,500,Sharon Byrdsong,Y,531-3000,Public Schools
-76.237395450348544,36.905605970306901,23,ROSEMONT MIDDLE SCHOOL,1330 Branch Road,852-4610,852-4615,http://www.nps.k12.va.us/schools/rosemont,Middle School,400,Jeanne Kruger,Y,852-4610,Public Schools
-76.239548093627562,36.896922483146078,24,NORVIEW ELEMENTARY SCHOOL,6401 Chesapeake Boulevard,852-4660,852-4658,http://www.nps.k12.va.us/schools/norviewes,Elementary School,300,Sandra Cox,Y,852-4660,Public Schools
-76.242113644039506,36.893874006460585,25,NORVIEW MIDDLE SCHOOL,6325 Sewells Point Road,852-4600,852-4590,http://www.nps.k12.va.us/schools/nms,Middle School,500,Joseph Melvin,Y,852-4600,Public Schools
-76.198135078389214,36.870611886199583,26,LAKE TAYLOR HIGH SCHOOL,1384 Kempsville Road,892-3200,892-3210,http://www.nps.k12.va.us/schools/lths,High School,4000,Noah Rogers,Y,892-3200,Public Schools
-76.201576707629911,36.869439443298724,27,LAKE TAYLOR MIDDLE SCHOOL,1380 Kempsville Road,892-3230,892-3240,http://www.nps.k12.va.us/schools/ltms,Middle School,1500,Inez Blount-Mason,Y,892-3230,Public Schools
-76.237934667237468,36.877066806594463,28,SHERWOOD FOREST ELEMENTARY,3035 Sherwood Forest Lane,852-4550,852-4532,http://www.nps.k12.va.us/schools/sherwood,Elementary School,500,Christine Harris,N,852-4550,Public Schools
-76.302298328431505,36.890596166137925,29,LARCHMONT ELEMENTARY SCHOOL,1145 Bolling Avenue,451-4180,451-4188,http://www.nps.k12.va.us/schools/larchmont,Elementary School,1500,Patricia Melise,Y,451-4180,Public Schools
-76.296377088568889,36.8686196949443,30,BLAIR MIDDLE SCHOOL,730 Spotswood Avenue,628-2400,682-2422,http://www.nps.k12.va.us/schools/blairms,Middle School,1000,Sarah  McKown,Y,628-2400,Public Schools
-76.290701470519579,36.86515514565059,31,MAURY HIGH SCHOOL,322 Shirley Avenue,628-3344,628-3359,http://www.nps.k12.va.us/schools/mauryhs,High School,3000,Michael Caprio,Y,628-3344,Public Schools
