X,Y,OBJECTID,WEB_ADRESS,MAR_ID,PHONE_NUMBER,DISTRICT
-77.358526,38.964042,2,www.fairfaxcounty.gov/huntermill/,,703-478-0283,2
-77.24737,38.872,1,www.fairfaxcounty.gov/providence/,,703-560-6946,7
-77.164989,38.837151,3,www.fairfaxcounty.gov/mason/,,703-256-7717,5
-77.356757,38.854016,4,www.fairfaxcounty.gov/chairman/,,703-324-2321,
-77.197699,38.932814,5,www.fairfaxcounty.gov/dranesville/,,703-356-0551,3
-77.237106,38.783171,6,www.fairfaxcounty.gov/springfield/,,703-451-8873,8
-77.148314,38.7812,7,www.fairfaxcounty.gov/lee/,,703-971-6262,4
-77.452112,38.871415,8,www.fairfaxcounty.gov/sully/,,703-814-7100,9
-77.256455,38.807529,9,www.fairfaxcounty.gov/braddock/,,703-425-9300,1
-77.077274,38.741443,10,www.fairfaxcounty.gov/mountvernon/,,703-780-7518,6
