OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,CENSUSBLOCKGROUP,SHAPEarea,SHAPElen
14,51,810,045407,2,518100454072,Block Group 2,G5030,S,237076,0,+36.8089006,-076.0689431,0454072,370544.618598133,3692.61404375424
15,51,810,046014,2,518100460142,Block Group 2,G5030,S,351751,0,+36.7855135,-076.1125813,0460142,549444.820462383,3348.65300267724
16,51,810,040802,2,518100408022,Block Group 2,G5030,S,297781,0,+36.8635223,-076.1517179,0408022,466089.021183947,3366.94762922199
17,51,810,046009,2,518100460092,Block Group 2,G5030,S,469883,0,+36.8335176,-076.1708345,0460092,734886.442184553,3536.27270936665
18,51,810,044808,1,518100448081,Block Group 1,G5030,S,527978,197754,+36.8516989,-076.0557258,0448081,1135553.22829851,5677.86056313796
19,51,810,040000,2,518100400002,Block Group 2,G5030,S,4515789,1569873,+36.9184591,-076.1711533,0400002,9537842.37561703,18019.9292012207
20,51,810,045414,3,518100454143,Block Group 3,G5030,S,419964,0,+36.8083250,-076.0838781,0454143,656385.744352551,4030.15345752913
21,51,810,046222,5,518100462225,Block Group 5,G5030,S,416171,7449,+36.7787889,-076.1793150,0462225,661579.171034696,4573.35237916382
22,51,810,046207,3,518100462073,Block Group 3,G5030,S,4679819,0,+36.7893588,-076.1997875,0462073,7310885.7370531,13891.1160714086
23,51,810,045408,2,518100454082,Block Group 2,G5030,S,264449,0,+36.7909118,-076.0056504,0454082,413136.881882816,2939.76332351573
24,51,810,043800,4,518100438004,Block Group 4,G5030,S,1681470,615820,+36.8783752,-076.0031845,0438004,3597056.13704485,8372.00446615225
25,51,810,046223,3,518100462233,Block Group 3,G5030,S,360947,0,+36.7865616,-076.1676936,0462233,563826.780735282,4614.20823134195
26,51,810,045407,1,518100454071,Block Group 1,G5030,S,1002111,29177,+36.8351972,-076.0536180,0454071,1612975.70299064,5946.26836869163
27,51,810,043004,1,518100430041,Block Group 1,G5030,S,1469015,1285255,+36.9066832,-076.0467333,0430041,4316006.64214533,11135.4416643356
28,51,810,046011,1,518100460111,Block Group 1,G5030,S,1017764,0,+36.8106830,-076.1320875,0460111,1590820.61301052,5220.7274732957
29,51,810,045405,2,518100454052,Block Group 2,G5030,S,310039,0,+36.8030153,-076.0917140,0454052,484513.947796504,3685.57440558975
30,51,810,041200,1,518100412001,Block Group 1,G5030,S,1947092,425520,+36.9003492,-076.1561009,0412001,3717247.32307392,7877.23313494482
31,51,810,040402,2,518100404022,Block Group 2,G5030,S,390696,0,+36.8641455,-076.1742552,0404022,611527.312985051,3370.53163087017
32,51,810,040802,3,518100408023,Block Group 3,G5030,S,1193162,0,+36.8601458,-076.1599146,0408023,1867371.35569982,7340.07449910448
33,51,810,040600,3,518100406003,Block Group 3,G5030,S,1674402,73737,+36.8465190,-076.1672303,0406003,2735015.14240609,9437.17679030551
34,51,810,043600,2,518100436002,Block Group 2,G5030,S,745651,141556,+36.8827490,-075.9936587,0436002,1389311.49346724,7279.09854296033
35,51,810,046015,4,518100460154,Block Group 4,G5030,S,320571,43220,+36.7743704,-076.1145948,0460154,568093.575217218,3911.33116237431
1,51,810,044806,1,518100448061,Block Group 1,G5030,S,817931,3915,+36.8455049,-076.0118636,0448061,1285731.00374862,5250.3667872876
2,51,810,044003,1,518100440031,Block Group 1,G5030,S,746825,52070,+36.8406585,-075.9769405,0440031,1249646.93578555,6077.76654523681
3,51,810,046216,2,518100462162,Block Group 2,G5030,S,944046,0,+36.7654326,-076.1424767,0462162,1473869.82940754,4948.95846831926
4,51,810,042201,2,518100422012,Block Group 2,G5030,S,1243223,157665,+36.8589103,-076.0997204,0422012,2192424.39922992,7722.42450224746
5,51,810,041004,3,518100410043,Block Group 3,G5030,S,644989,0,+36.8465737,-076.1493686,0410043,1009094.06646453,4502.62958559437
6,51,810,041004,1,518100410041,Block Group 1,G5030,S,380041,0,+36.8500058,-076.1405898,0410041,594630.895253254,3167.92283875852
7,51,810,040600,1,518100406001,Block Group 1,G5030,S,880091,0,+36.8586113,-076.1712547,0406001,1377341.59767106,5645.30165527408
8,51,810,046211,3,518100462113,Block Group 3,G5030,S,618419,0,+36.7984325,-076.1678615,0462113,966314.681818711,5144.98225160145
9,51,810,044200,4,518100442004,Block Group 4,G5030,S,1052946,3219,+36.8430948,-075.9934957,0442004,1652258.15785792,6506.67224510037
10,51,810,042802,1,518100428021,Block Group 1,G5030,S,1011493,29043,+36.8356301,-076.0813484,0428021,1627457.20041587,8726.29411090938
11,51,810,046213,1,518100462131,Block Group 1,G5030,S,550880,30674,+36.7926846,-076.1504431,0462131,908538.788407765,7862.39036368659
12,51,810,045803,2,518100458032,Block Group 2,G5030,S,1399534,0,+36.8184256,-076.1349920,0458032,2187990.86347126,6313.64475284705
13,51,810,041802,1,518100418021,Block Group 1,G5030,S,831649,30587,+36.9105075,-076.1080207,0418021,1351184.20712299,7770.81103230187
51,51,810,045406,1,518100454061,Block Group 1,G5030,S,342081,0,+36.8013918,-076.0813552,0454061,534564.697823852,3368.86534248307
52,51,810,045424,1,518100454241,Block Group 1,G5030,S,5495896,8266,+36.7365432,-076.0354779,0454241,8586913.03166231,13946.6897783521
53,51,810,046005,4,518100460054,Block Group 4,G5030,S,486291,24044,+36.8282970,-076.1528697,0460054,798015.918014331,4113.47543553458
54,51,810,046005,1,518100460051,Block Group 1,G5030,S,1032657,0,+36.8330701,-076.1495938,0460051,1615036.48436888,7281.30180530168
55,51,810,045406,5,518100454065,Block Group 5,G5030,S,721158,0,+36.7937753,-076.0920053,0454065,1126720.93074729,6082.0332907095
56,51,810,042802,2,518100428022,Block Group 2,G5030,S,447406,18144,+36.8289708,-076.0739215,0428022,728025.530001496,4154.09750418594
57,51,810,046204,2,518100462042,Block Group 2,G5030,S,2112618,437181,+36.8269284,-076.2197833,0462042,3987155.56219031,10158.2924588201
