X,Y,OBJECTID,STRUCT_NAM,TYPE,XFIELD,YFIELD,COMPKEY,UNITID,COMPTYPE
-76.144520441088673,36.897698161276978,1,INDEPENDENCE BLVD (NB),BRIDGE,12171628.072,3494901.81668123,44779,01829,66
-76.092143841461308,36.907440711375266,2,LESNER BRIDGE (EB),BRIDGE,12186848.5415,3498834.13564273,44772,01814,66
-76.124452738801466,36.843398985705726,3,THALIA CREEK,BRIDGE,12177991.7893,3475285.59335932,44770,01810,66
-76.057089550679052,36.84123664701648,4,LONDON BRIDGE CREEK,BRIDGE,12197717.9865,3475001.59526386,44769,01808,66
-76.060456833419295,36.835124320522596,5,POTTERS RD,BRIDGE,12196790.4339,3472751.45506085,44810,08024,66
-76.067257790687464,36.832093731474423,6,TWIN BRIDGES (NB),BRIDGE,12194829.1707,3471597.07369268,44822,08056,66
-76.077530672748367,36.822810817071812,7,COXS BRIDGE,BRIDGE,12191910.3186,3468141.11380045,44811,08026,66
-76.061010900811794,36.815592615909836,8,INTERNATIONAL PW (EB),BRIDGE,12196812.0385,3465638.44503342,44835,08073,66
-76.004166660374608,36.852659305178967,9,LASKIN RD,BRIDGE,12213089.8261,3479564.01607542,44768,01804,66
-75.97219138475451,36.831091537468765,10,RUDEE INLET (NB),BRIDGE,12222652.4204,3471963.23648466,44843,08081,66
-76.082152141067468,36.814192885846531,11,BOW CREEK,BRIDGE,12190638.3849,3464969.81104916,44816,08032,66
-76.080941824715467,36.805292501889269,12,MAPLETON,BRIDGE,12191075.603,3461739.45763912,44812,08027,66
-76.090117120907735,36.798323682836688,13,GREEN GARDEN CI BRIDGE EAST,BRIDGE,12188454.9616,3459134.34738554,44826,08062,66
-76.070203922561262,36.793915948359,14,SHIPPS CORNER,BRIDGE,12194324.9354,3457679.52911323,44808,08022,66
-76.070633521184604,36.788134392065977,15,DAM NECK  (EB),BRIDGE,12194253.3462,3455572.013067,44837,08075,66
-76.108499050122674,36.827684007112566,16,SOUTH PLAZA TRAIL BRIDGE,BRIDGE,12182803.6994,3469683.70462034,44817,08033,66
-76.09888715743098,36.798860664239477,17,ROSEMONT RD.,BRIDGE,12185882.9543,3459264.36585945,44824,08060,66
-76.116242083205734,36.744765546582016,18,GUM SWAMP,BRIDGE,12181300.3614,3439446.67326711,44799,08009,66
-76.130220397235988,36.765963492850851,19,ELBOW ROAD BRIDGE,BRIDGE,12177012.2003,3447058.98564351,44800,08010,66
-76.039787884220871,36.755665644286999,20,DOZIER BRIDGE,BRIDGE,12203591.1764,3443988.55106115,44774,01819,66
-75.971028042207067,36.732872161850707,21,SANDBRIDGE,BRIDGE,12223950.6418,3436225.01104089,44806,08020,66
-76.128921187196767,36.903783374694918,22,NORTHAMPTON BL (NB),BRIDGE,12176132.4887,3497230.83275138,44776,01825,66
-76.067066153986175,36.903395355901282,23,N GREAT NECK RD (NB),BRIDGE,12194216.2845,3497549.73952013,44782,01874,66
-76.068597295557055,36.903395681307927,24,W GREAT NECK RD (LONG CREEK),BRIDGE,12193768.7319,3497538.32475704,44804,08014,66
-76.132040136964903,36.798517203308855,25,BELLAMY WOODS,BRIDGE,12176182.0559,3458894.1900903,44833,08071,66
-76.130270073172866,36.796847320280492,26,FERRELL PW BRIDGE OVER SALEM CANAL,BRIDGE,12176715.4265,3458299.40637409,44842,08080,66
