name,styleUrl,styleHash,description,lon,lat
Cavalry Engagement,#HMdb,-4d5c01f2,"Historical Marker No. C-3 erected 1998 by Department of Historic Resources

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=591"">this link</a>",-78.45723333,38.67066667
White House Bridge,#HMdb,-4d5c01f2,"Historical Marker erected by Virginia Civil War Trails

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=799"">this link</a>",-78.53121667,38.64763333
Fisher�s Hill and Yager�s Mill,#HMdb,-4d5c01f2,"Historical Marker erected by Summers-Koontz Camp #490, with the aid of a grant from the Shenandoah Valley Battlefields Foundation and support from the town of Luray

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=801"">this link</a>",-78.45736667,38.67135
Willow Grove Mill,#HMdb,-4d5c01f2,"Historical Marker erected 2002 by Summers-Koontz Camp #490, with the help of a grant from the Shenandoah Valley Battlefields Foundation

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=11034"">this link</a>",-78.462381,38.654081
Shield's Advance & Retreat,#HMdb,-4d5c01f2,"Historical Marker erected by Virginia Civil War Trails

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=12079"">this link</a>",-78.61732721,38.46548479
The Burning of Red Bridge,#HMdb,-4d5c01f2,"Historical Marker erected by Virginia Civil War Trails

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=12085"">this link</a>",-78.59490395,38.52711807
Somerville Heights,#HMdb,-4d5c01f2,"Historical Marker erected by Virginia Civil War Trails

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=12086"">this link</a>",-78.59486103,38.52710548
Pass Run and Thornton Gap,#HMdb,-4d5c01f2,"Historical Marker erected by Summers-Koontz Camp #490, with the help of a grant from the Shenandoah Valley Battlefields Foundation

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=13111"">this link</a>",-78.382859,38.673524
Stonewall Jackson's Marches,#HMdb,-4d5c01f2,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=13183"">this link</a>",-78.42263907,38.53406216
Jackson's Last Mountain Crossing,#HMdb,-4d5c01f2,"Historical Marker<br><br><font color=red>This marker has been reported missing.</font>

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=13184"">this link</a>",-78.42248082,38.53390375
Catherine Furnace,#HMdb,-4d5c01f2,"Historical Marker erected 2003 by Summers-Koontz Camp #490, with the help of a grant from the Shenandoah Valley Battlefields Foundation

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=15892"">this link</a>",-78.635448,38.557756
Graves� Chapel,#HMdb,-4d5c01f2,"Historical Marker erected by Summers-Koontz Camp #490, with help from a grant from the Shenandoah Valley Battlefields Foundation

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=15896"">this link</a>",-78.487616,38.576538
Execution of Summers and Koontz,#HMdb,-4d5c01f2,"Historical Marker No. J-95 erected 1999 by the Virginia Department of Historical Resources, sponsored by funding from descendants of Page County Confederate Veterans

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=15902"">this link</a>",-78.603288,38.562693
Jackson�s 2nd Corps Established,#HMdb,-4d5c01f2,"Historical Marker erected by Summers-Koontz Camp #490, SCV, with a grant made possible through the Shenandoah Valley Battlefields Foundation

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""http://www.hmdb.org/marker.asp?marker=16453"">this link</a>",-78.61123333,38.64273333
