name,styleUrl,styleHash,Contact Names,Phone,lon,lat
17th Street Farmers' Market,#0,5541b804,George Bolos,(804)646-0477,-77.427682761137,37.534342556589
"500 - Year Forest Foundation, The",#0,5541b804,"Ted Harris, President",434-384-2324,-78.961955606676,36.019044369439
Abingdon Elementary School,#0,5541b804,Megan de Nobriga,276-739-3400,-82.017550741253,36.712534697288
Abingdon High School,#0,5541b804,Teresa Berry,276-739-3200,-81.9543904395,36.719963863716
Abingdon Litter and Recycling Program,#0,5541b804,John Dew,276-628-1367,-81.975230900894,36.710506745717
Acquinton Elementary School,#0,5541b804,Beverly Young,804-769-3739,-77.034232694429,37.695041991804
"Afro-American Historical Association,Fauquier County (AAHA)",#0,5541b804,Karen White,540-253-7488,-77.771363244588,38.863244760063
"Aging, Department of",#0,5541b804,Patricia Cummins,(804) 662-9333,-77.544830955871,37.602521305862
"Agriculture and Consumer Services, Department of",#0,5541b804,Joel Stopha,804-371-8991,-77.432778275644,37.537874742414
Agriculture in the Classroom,#0,5541b804,Tammy Maxey,804-290-1025,-77.649720541505,37.611532976793
Airfield 4-H Educational Center,#0,5541b804,Jim Williams,757-899-4901,-77.033197982513,36.910735061459
Albert Harris Elementary School,#0,5541b804,Travis Clemons,276-403-5705,-79.852047847887,36.674955371999
Alexandria City Public Schools,#0,5541b804,David Conrath,703-824-6686,-77.119224648544,38.834386253965
"Alexandria, Solid Waste & Recycling Program",#0,5541b804,Judy Lo,703-838-5041,-77.053608614385,38.796829906899
Alice Ferguson Foundation,#0,5541b804,Lori Arguelles,301-292-5665,-77.042655113622,38.686955276302
"Amazement Square, The Righmire Children's Museum",#0,5541b804,"Donna LaFratta, Human Resources Manager",434-845-1888,-79.140650441665,37.416413392341
Amelia County Middle School,#0,5541b804,"Shirley Booker & Kathy Stuart, Principals",804-561-4422,-77.983848180101,37.328138668063
American Lung Association of VA,#0,5541b804,Gabrielle Steele,202-785-3355,-77.029837536705,38.896680093968
"American Water Works Association (AWWA), VA Section",#0,5541b804,Cathy Larue,757-363-1760,-76.139999512979,36.900000536928
Amherst County Recreation and Parks,#0,5541b804,Allan Bumgarner,434-946-9371,-79.049174785783,37.581829969812
Amherst County Solid Waste and Litter Prevention,#0,5541b804,Teresa M. Nuckols,434-846-3324,-79.028641835723,37.473096677229
Appalachia Elementary,#0,5541b804,Matthew Dysart,276-565-1115,-82.745611680148,36.924605258826
Appalachian Sustainable Development,#0,5541b804,Gina Patrick,276-623-1121,-81.981753668187,36.709052494234
Appalachian Trail Conservancy,#0,5541b804,Angie Sheldon,540-953-3571,-80.402493836068,37.198273355763
"Apple Ridge Farm, Inc.",#0,5541b804,Andrea Goodrum,540-982-1322,-79.945414491987,37.269651122008
Appomattox County Recycling and Litter Prevention,#0,5541b804,Wanda McCormick,434-352-8184,-78.745222361679,37.352314926741
Arcadia Middle School,#0,5541b804,Suzy Corson,(757) 824-4862,-75.57931096129,37.925855294763
Arlington County Environmental Services,#0,5541b804,Erik Grabowsky,703-228-7953,-77.092808127581,38.84009269506
