name,styleUrl,styleHash,description,lon,lat
Cemetery--Armistead,#icon-503-FFDD5E,542a2b8,"Also called Highland Farm Cemetery, after the Highland Poultry Farm formerly on the property.<br><br>Library of Virginia Resources: <br>http://lva1.hosted.exlibrisgroup.com/F/?func=find-b&find_code=WRD&request=vhir%2009%200253<br><br>FindAGrave.com Listing: http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&GRid=36374880&CRid=2175682&",-76.382833,37.05802
Cemetery--Ballard,#icon-503-7CCFA9,42131318,"Nelson Ballard was a ""Contraband"" slave who served in the United States Colored Troops, mustering at Camp Hamilton (near Fort Monroe). 50 other graves in the area have been identified by the College of William & Mary's Archaeology Department.<br><br>Contraband Historical Society Wreath Laying: http://www.contrabandhistoricalsociety.org/ballard-quinn.shtml<br><br>FindAGrave.com Listing: http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&GRid=15893003&CRid=2190525&",-76.388504,37.053972
Cemetery--Barnes,#icon-503-7CCFA9,42131318,,-76.322654,37.034219
Cemetery--Basset,#icon-503-7CCFA9,42131318,,-76.34835,37.031199
Cemetery--Bloxom,#icon-503-7CCFA9,42131318,FindAGrave.com Listing: http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&CRid=2176099,-76.294341,37.060582
Cemetery--Clark,#icon-503-7CCFA9,42131318,,-76.300931,37.069032
Cemetery--Davis,#icon-503-7CCFA9,42131318,FindAGrave.com Listing: http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&CRid=2176101&CScnty=2914&)<br><br>History of the Davis/Curtis families and the adjacent property (now Blue Bird Gap Farm Park): http://www.hampton.gov/DocumentCenter/Home/View/139 ,-76.38500900000001,37.032141
Cemetery--Douglas Smith,#icon-503-FFDD5E,542a2b8,,-76.299577,37.092619
Cemetery--Drummond,#icon-503-FFDD5E,542a2b8,Possibly the same as Messick Cemetery? <br><br>FindAGrave.com Listing: <br>http://www.findagrave.com/cgi-bin/fg.cgi?page=gsr&GScid=2154427,-76.307774,37.081835
Cemetery--Ebenezer,#icon-503-7CCFA9,42131318,Also known as Wunder Garrett. <br><br>FindAGrave.com Listing:<br>http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&amp;CRid=50110&amp;CScn=ebe&amp;CScntry=4&amp;CSst=48&amp;CScnty=2914&amp,-76.401616,37.087769
Cemetery--Elmerton,#icon-503-7CCFA9,42131318,FindAGrave.com Listing:<br>http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&GSln=barrett&GSfn=j&GSbyrel=all&GSdyrel=all&GSst=48&GScnty=2914&GScntry=4&GSob=n&CRid=50140&df=all&pt=Elmerton%20Cemetery& <br><br>Notable burial: Janie Porter Barrett (http://en.wikipedia.org/wiki/Janie_Porter_Barrett),-76.345408,37.032216
Cemetery--Good Samaritan,#icon-503-7CCFA9,42131318,FindAGrave.com Listing: <br>http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&CRid=2175873&CScnty=2914&<br><br>Museum Collections: <br>http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=cemetery--good%20samaritan,-76.326333,37.025235
Cemetery--Greenlawn,#icon-503-7CCFA9,42131318,Part of property extends across Newport News border.<br><br>Museum Collections:<br>http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=cemetery--greenlawn,-76.403421,36.995038
Cemetery--Guy,#icon-503-7CCFA9,42131318,FindAGrave.com Listing: <br>http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&GScid=2175890&CRid=2175890&pt=Guy%20Cemetery&,-76.292608,37.069
Cemetery--Hamilton,#icon-503-FFDD5E,542a2b8,,-76.308838,37.067156
Cemetery--Hampton Memorial Gardens,#icon-503-7CCFA9,42131318,"Parcel also includes Hampton Veteran's Memorial Gardens, and the Peninsula Chapel Mausoleum.<br><br>FindAGrave.com Listing:<br>http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&CRid=1209751&CScn=hampton+memorial+gardens&CScntry=4&CSst=48&CScnty=2914&",-76.395342,37.06242
Cemetery--Hampton National Cemetery,#icon-503-7CCFA9,42131318,Museum Collections: <br>http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=cemetery--hampton%20national%20cemetery,-76.334853,37.019481
Cemetery--Hampton University,#icon-503-7CCFA9,42131318,"Integrated cemetery, including burials of Hampton Institute faculty and students, including 38 Native Americans.<br> <br>FindAGrave.com Listing:<br>http://www.findagrave.com/cgi-bin/fg.cgi?page=cr&CRid=1726604<br><br>Museum Collections: <br>http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=cemetery--hampton%20university",-76.335368,37.0177
Cemetery--Hebrew,#icon-503-7CCFA9,42131318,,-76.383825,37.000918
