Jurisdiction,Route,Route Name,Crossing,Geotag,Type,Year Built,Year Reconstructed,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Functionally Obsolete?,Structurally Deficient?,Last Inspected,Weight Limit Posted?,Responsibility,Structure Length (FT),Structure Width (FT),Avg Daily Traffic
Gloucester County,3,EBL J. CLAYTON HY.,COW CREEK,"37.426066, -76.495862",Bridge,1938,2003,7,8,7,N,No,No,7/8/2014,No,VDOT,38.1,33.1,9483
Gloucester County,3,E&WBL JOHN CLAYTON,BEAVERDAM SWAMP,"37.415190, -76.518572",Culvert,1974,N/A,N,N,N,6,No,No,7/8/2014,No,VDOT,30.8,94,18966
Gloucester County,3,WBL J. CLAYTON HWY,COW CREEK,"37.425938, -76.494029",Culvert,1974,N/A,N,N,N,7,No,No,7/8/2014,No,VDOT,21,55,9483
Gloucester County,17,ROUTE 17/14,WOOD MILL SWAMP,*,Culvert,1954,N/A,N,N,N,6,No,No,7/9/2012,No,VDOT,13.1,199,11978
Gloucester County,17,G. WASH. MEM. HWY.,FOX MILL RUN,"37.408352, -76.530994",Culvert,1972,N/A,N,N,N,7,No,No,7/3/2013,No,VDOT,32.2,62,9292
Gloucester County,17,G. WASH. MEM. HWY.,FOX MILL RUN,"37.408122, -76.531208",Culvert,1972,N/A,N,N,N,6,No,No,7/3/2013,No,VDOT,32.2,62,9292
Gloucester County,17,MAIN STREET (SBL),FOX MILL RUN,"37.408175, -76.518508",Bridge,2012,,8,8,8,N,No,No,7/10/2014,No,VDOT,98,44.1,20577
Gloucester County,17,(NBL) MAIN STREET,FOX MILL RUN,"37.408171, -76.518775",Bridge,1964,N/A,5,5,5,N,No,No,7/10/2014,No,VDOT,66.9,42,11119
Gloucester County,33,Lew. B. Pull. Mem.,CREEK,"37.534206, -76.777569",Culvert,1958,1994,N,N,N,6,No,No,7/9/2014,No,VDOT,6.9,166,7618
Gloucester County,198,DUTON ROAD,FERRY CREEK,"37.508004, -76.487812",Bridge,1938,1999,8,8,7,N,No,No,7/17/2014,No,VDOT,32.2,32.2,2635
Gloucester County,198,GLENN'S RD.,CARVERS CREEK,"37.543547, -76.556338",Culvert,1950,N/A,N,N,N,7,No,No,7/2/2013,No,VDOT,21,34,2168
Gloucester County,198,DUTTON ROAD,HARPERS CREEK,"37.529534, -76.512403",Bridge,1941,N/A,4,5,7,N,No,Yes,7/17/2014,No,VDOT,43,25.9,2354
Gloucester County,605,CRAB THICKET RD.,BEECH SWAMP,"37.431447, -76.514122",Culvert,1952,N/A,N,N,N,6,No,No,7/15/2014,No,VDOT,18,36,1306
Gloucester County,606,FARYS MILL RD.,BEAVERDAM SWAMP,"37.470929, -76.564230",Culvert,1964,N/A,N,N,N,7,No,No,7/15/2014,No,VDOT,28.9,40,1850
Gloucester County,610,OLD PINETTA RD,COFFEE CREEK,"37.408235, -76.631316",Bridge,1960,2013,8,8,5,N,No,No,7/9/2014,No,VDOT,30.8,22.1,246
Gloucester County,610,Davenport Road,POPLAR SPRING BRANCH,"37.452239, -76.642455",Culvert,1970,N/A,N,N,N,5,No,No,7/2/2013,No,VDOT,19,40,1119
Gloucester County,610,SALEM CHURCH ROAD,CEDAR LAKE,"37.543986, -76.600002",Bridge,1964,1988,8,4,6,N,No,Yes,7/21/2014,Yes,VDOT,16.1,18,175
