name,styleUrl,styleHash,description,gx_media_links,lon,lat
Catalpas,#icon-145,4d09cf07,STREET TREES<br>Governor’s Palace Green <br>Colonial Williamsburg Foundation's Historic Area <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=775,-76.702042,37.272183
Japanese Zelkova,#icon-ci-1,-1846bb07,SPECIMEN TREE<br>Williamsburg Inn <br>506 N Henry Street <br>State Champion <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=771,-76.697032,37.268794
Kobus Magnolia,#icon-ci-1,-1846bb07,SPECIMEN TREE<br>Williamsburg Inn <br>506 N Henry Street <br>757.565.3970 <br>State Champion <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=795,-76.697273,37.268717
Eastern Red Cedars,#icon-145,4d09cf07,HERITAGE TREES<br>Cedar Grove Cemetery <br>S Henry Street<br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=773,-76.707487,37.260955
Cottonwood Poplar,#icon-ci-1,-1846bb07,SPECIMEN TREE<br>Bicentennial Park <br>Court Street <br>State Champion <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=780,-76.70387100000002,37.266996
White Pine,#icon-145,4d09cf07,SPECIMEN TREE<br>Bicentennial Park <br>Court Street <br>Note the corkscrew bend in the lower left. Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=803,-76.705192,37.26743
Hemlock,#icon-145,4d09cf07,SPECIMEN TREE <br>Cedar Grove Cemetery <br>S Henry Street <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=802,-76.706948,37.261004
Water Locust,#icon-ci-1,-1846bb07,SPECIMEN TREE<br>Intersection of N Henry & Lafayette Streets <br>State Champion <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=774,-76.705019,37.275818
Compton Oak,#icon-ci-2,-61aea105,SPECIMEN TREE<br>Market Square near St. George Tucker House<br>Colonial Williamsburg Foundation's Historic Area <br>State Champion <br>National Champion <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=805,-76.700508,37.272017000000005
Southern Magnolia,#icon-145,4d09cf07,SPECIMEN TREE<br>Nelson-Galt House <br>Shields Tavern <br>409 E Duke of Gloucester Street <br>Colonial Williamsburg Foundation's Historic Area <br>This magnolia can be seen on aerial photographs prior to re-construction. <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=789,-76.69460300000001,37.270975
Live Oaks,#icon-145,4d09cf07,STREET TREES<br>Colonial Williamsburg Foundation's Historic Area <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=797,-76.698046,37.271974
Live & White Oaks,#icon-145,4d09cf07,STREET TREES<br>Botetourt Street<br>Colonial Williamsburg Foundation's Historic Area <br>Designated 6.10.10,http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=807,-76.696764,37.272132
Willow Oaks,#icon-145,4d09cf07,"STREET TREES<br>Intersection of York, Page & Lafayette Streets <br>Designated 6.10.10",http://www.williamsburgva.gov/Modules/ShowImage.aspx?imageid=801,-76.689082,37.271299
Ogeechee Tupelo,#icon-ci-1,-1846bb07,SPECIMEN TREE<br>Custis Tenement <br>Francis Street <br>Colonial Williamsburg Foundation's <br>Historic Area <br>State Champion<br>Nominated by Heritage Tree Committee<br>Designated 6.10.10,http://williamsburgva.gov/Modules/ShowImage.aspx?imageid=791,-76.70253600000001,37.270128
Willow Oak at Basset Hall,#icon-145,4d09cf07,SPECIMEN TREE<br>Basset Hall <br>Colonial Williamsburg Foundation's <br>Historic Area<br>Nominated by Heritage Tree Committee<br>Designated 6.10.10,http://williamsburgva.gov/Modules/ShowImage.aspx?imageid=788,-76.691965,37.269295
English Yew,#icon-145,4d09cf07,HERITAGE TREE <br>Custis Square <br>Colonial Williamsburg Foundation's <br>Historic Area <br>Nominated by Heritage Tree Committee<br>Designated 6.10.10,http://williamsburgva.gov/Modules/ShowImage.aspx?imageid=781,-76.702783,37.268954
Black Walnut,#icon-145,4d09cf07,SPECIMEN TREE<br>Custis Square <br>Colonial Williamsburg Foundation's <br>Historic Area <br>Nominated by Heritage Tree Committee<br>Designated 6.10.10,http://williamsburgva.gov/Modules/ShowImage.aspx?imageid=790,-76.702748,37.269161
Cottonwood Poplar,#icon-145,4d09cf07,SPECIMEN TREE <br>Custis Square <br>Colonial Williamsburg Foundation's <br>Historic Area<br>Nominated by Historic Tree Committee<br>Designated 6.10.10,http://williamsburgva.gov/Modules/ShowImage.aspx?imageid=780,-76.702115,37.269097
