"Report Definition","rank","Group: NAICS 3-digit industry name","Average Quarterly Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Growth in Employment (%) (2012Q1,2013Q1)","Hiring Growth (2012Q1,2013Q1)","Hiring Growth (%) (2012Q1,2013Q1)","Hiring (2013Q1)","Hiring (2012Q1)","Average Quarterly New Hire Employment (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Quarterly Job Change (2012Q2,2012Q3, 2012Q4,2013Q1)","Average Monthly Earnings ($) (2012Q2,2012Q3, 2012Q4,2013Q1)","Earning Growth ($) (2012Q1,2013Q1)","Average Earning Growth (%) (2012Q1,2013Q1)","New Hire Earnings ($) (2012Q2,2012Q3, 2012Q4,2013Q1)"
"High Growth Industries","","",".",".",".",".",".",".",".",".",".",".",".","."
"All 10 eligible industries ranked on the greatest employment","","",".",".",".",".",".",".",".",".",".",".",".","."
"State=Virginia, WIA=Hampton Roads LWIA XVI, Sex=All Sexes, Age=All A","","",".",".",".",".",".",".",".",".",".",".",".","."
"Private Firms Only","","",".",".",".",".",".",".",".",".",".",".",".","."
"Source: U.S. Census Bureau, Local Employment Dynamics","","",".",".",".",".",".",".",".",".",".",".",".","."
"","","All NAICS subsectors","393975","1.62897897878439","1301","4.76094633414451","27977","26676","30214","5705","3645","-8","-0.22203719122953","2258"
"","1","722 Food Services and Drinking Places","39970","4.11496105291431","-250","-6.20963735717834","3901","4151","4693","725","1294","-19","-1.51334129828753","911"
"","2","541 Professional, Scientific, and Technical Services","36209","-1.20712174331477","-96","-3.92156862745098","2400","2496","2501","366","5776","12","0.2157885272433","4717"
"","3","561 Administrative and Support Services","29521","0.99196405426423","146","4.68549422336328","3189","3043","3435","444","2863","-27","-0.91324200913242","2060"
"","4","621 Ambulatory Health Care Services","27373","3.75485219468498","9","0.51121840386253","1765","1756","1847","496","4645","-37","-0.85598611914401","2607"
"","5","622 Hospitals","17519","-0.69300069300069","79","13.7271937445699","615","536","766","142","4770","156","3.1363088057901","3653"
"","6","238 Specialty Trade Contractors","14841","2.8714150976351","-69","-7.69659788064696","862","931","1094","263","3616","59","1.71636363636363","2463"
"","7","452 General Merchandise Stores","13028","-9.94515539305301","-33","-2.67965895249695","1215","1248","889","-120","1888","61","3.0691823899371","1085"
"","8","623 Nursing and Residential Care Facilities","10448","1.27106403466538","110","15.0273224043715","787","677","760","104","2658","127","4.75388358600037","1924"
"","9","445 Food and Beverage Stores","9209","47.3690406121247","483","69.5464362850972","936","453","855","987","1749","12","0.72639225181598","1033"
"","10","611 Educational Services","9073","0.44642857142857","-98","-18.9922480620155","467","565","537","67","3112","56","1.83606557377049","1962"
