name,styleUrl,styleHash,description,lon,lat,gx_media_links
Virginia Aquarium,#icon-22,-307e72e,Please call Chris Witherspoon at 757-385-3474 for more information about the site or the program.,-75.983732,36.821329,
State Arboretum of Virginia,#icon-22,-307e72e,Please call Candace Lutzow-Felling at 540-837-1758 for more information about the site or the program.,-78.063567,39.063079,
Claytor Nature Study Center,#icon-22,-307e72e,Please call Greg Eaton at 540-587-6782 or email him at cnsc@lynchburg.edu for more information about the site or the program.,-79.50950600000002,37.325904,
Marine Science Consortium,#icon-22,-307e72e,Please call Anne Schlesinger at 757-824-5636 for more information about the site or the program.,-75.482393,37.934475,
Danville Science Center,#icon-22,-307e72e,Please call Sonya Wolen at 434-791-5160 or email her at dscgs@smv.org for more information about the site or the program.,-79.38495300000001,36.584071,
New Kent Forestry Center,#icon-22,-307e72e,Please call Lisa Deaton at 804-966-7058 or email her at lisa.deaton@dof.virginia.gov for more information about the site or the program.,-76.993641,37.429318,
Museum of Natural History,#icon-22,-307e72e,Please call Denny Casey at 276-634-4141 for more information about the site or the program.,-79.864564,36.687236,
Matthews State Forest,#icon-22,-307e72e,Please call Zach Olinger at 276-236-2322 or email at zachary.olinger@dof.virginia.gov for more information about the site or the program.,-80.949309,36.625378,"https://www.google.com/search?hl=en&sugexp=kjrmc&cp=21&gs_id=1k&xhr=t&q=judge+matthews+state+forest&tok=46H_Sek_76vR2hnSFYAmIw&gs_sm=&gs_upl=&bav=on.2,or.r_gc.r_pw.,cf.osb&biw=1024&bih=482&wrapid=tljp1320692710719024&um=1&ie=UTF-8&tbm=isch&source=og&sa=N&tab=wi#um=1&hl=en&tbm=isch&sa=1&q=judge+matthews+state+forest%2C+Galax%2C+VA&oq=judge+matthews+state+forest%2C+Galax%2C+VA&aq=f&aqi=&aql=1&gs_sm=e&gs_upl=16925l21265l0l21983l11l11l0l9l0l0l422l765l3-1.1l2l0&bav=on.2,or.r_gc.r_pw.,cf.osb&fp=1&biw=1024&bih=482"
Friends of the Rappahannock - Headquarters,#icon-22,-307e72e,"Please call Daria Blom at 540-373-3448, ext. 115 for more information about the site or the program.",-77.485884,38.317109,
Virginia Living Museum,#icon-22,-307e72e,Please call  Dan Summers at 757-595-1900 for more information about the site or the program.,-76.479628,37.069799,
Department of Environmental Quality,#icon-22,-307e72e,Please call Page Hutchinson at 804-698-4488 or email her at page.hutchinson@deq.virginia.gov for more information about the site or the program.,-77.387695,37.596824,
