STATE,ORIG_LABEL,MAP_SYM1,MAP_SYM2,UNIT_LINK,PROV_NO,PROVINCE,UNIT_NAME,UNIT_AGE,UNITDESC,STRAT_UNIT,UNIT_COM,MAP_REF,ROCKTYPE1,ROCKTYPE2,ROCKTYPE3,UNIT_REF
VA,adg,adg,adg;0,VAadg;0,0,,Altered Diorite and Gabbro,Proterozoic,Altered diorite and gabbro,,"Southeastern PiedmontFrom expanded explanation (ref. VA002):Altered diorite and gabbro. Grayish-olive-green, medium-grained gabbro, hornblende gabbro, and diorite exhibit variable degrees of saussuritization and uralitization. Thegabbros are commonly concordant with adjacent metavolcanic rocks.",VA003,diorite,gabbro,,VA001VA002 VA003
VA,af,af,af;0,VAaf;0,0,,Artificial Fill,Quaternary,Artificial Fill - Areas filled for construction and waste disposal,,Coastal PlainNo age on Quaternary (Karen Hostettler),VA003,unconsolidated deposit,,,VA001 VA003
VA,ag,ag,ag;0,VAag;0,0,,Abbeyville Gabbro,Proterozoic,Abbeyville gabbro,,"Carolina Slate BeltFrom expanded explanation (ref. VA002):Abbeyville gabbro (Laney, 1917). Dark-greenish gray, coarse-grained metamorphosed gabbro; includes some soapstone. Mineralogy: uralitic hornblende + plagioclase + (zoisite, clinozoisite, epidote) + magnetite ñ quartz; kaolin, sericite, chlorite, and calcite are also present. Geophysical signature: positive magnetic anomaly.",VA003,gabbro,,,VA001 VA002VA003
VA,ak,ak,ak;0,VAak;0,0,,Alaskite,Proterozoic,Alaskite,,"Western Piedmont, Southwest and Central.From expanded explanation (ref. VA002):Alaskite (Conley, 1985). White to light-gray, medium to coarse-grained leucocratic muscovite granite and granite gneiss. Mineralogy: potassium feldspar (perthite or microcline) + plagioclase + quartz + muscovite ñ biotite ñ epidote ñ kyanite ñ garnet.Geophysical signature: negative or flat magnetic signature; positive radiometric signature.Commonly occurs as folded sheets parallel to schistosity and as lit-par-lit injections in the Bassett and Fork Mountain Formations (Smith River Allochthon) and near the base of the Lynchburg Group (Ashe Formation or Moneta Gneiss) in the Blue Ridge or Sauratown Mountains anticlinoria.",VA003,alkali-granite (alaskite),,,VA001 VA002VA003
VA,al,al,al;0,VAal;0,0,,Alluvium,Quaternary,"Alluvium - Poorly sorted organic material, clay, sand, and rounded pebbles and cobbles ",,"Coastal Plain (Holocene epoch per Karen Hostettler)From expanded explanation (ref. VA002):Alluvium (Holocene). Fine to coarse gravelly sand and sandy gravel, silt, and clay, light- to medium-gray and yellowish-gray. Deposited mainly in channel, point-bar, and flood-plain environments; includes sandy deposits of narrow estuarine beaches, and mud, muddy sand, and peat in swamps and in fresh- and brackish-water marshes bordering tidewater rivers. Grades into colluvium along steeper valley walls at margins of unit. Mostly Holocene but, locally, includes low-lying Pleistocene (?) terrace deposits. As much as 80 feet thick along major streams.	",VA003,alluvium,clay or mud,sand,VA001VA002 VA003
VA,amr,amr,amr;0,VAamr;0,0,,Amphibolite and Amphibole-Bearing Gneiss and Schist,Proterozoic,Amphibolite and amphibole-bearing gneiss and schist.,,"Central PiedmontFrom expanded explanation (ref. VA002):Amphibolite and amphibole-bearing gneiss and schist. Dark-gray to black, medium-grained, strongly foliated and lineated. Mineralogy: hornblende + plagioclase + biotite + quartz + epidote; apatite, titanite, and magnetite are accessory minerals.Geophysical signature: strike-elongate positive magnetic anomalies. These rocks are interlayered with migmatitic paragneiss (mpg).",VA003,amphibolite,gneiss,schist,VA001VA002VA003
VA,bgd,bgd,bgd;0,VAbgd;0,0,,Biotite Granodiorite,Proterozoic,Biotite granodiorite,,"Carolina Slate BeltFrom expanded explanation (ref. VA002):Biotite granodiorite. Light-gray, medium-grained, foliated. Mineralogy: quartz + potassium feldspar + plagioclase + biotite + muscovite; accessory minerals include epidote, apatite, and opaque minerals.",VA003,granodiorite,,,VA001VA002 VA003
VA,bgp,bgp,bgp;0,VAbgp;0,0,,Porphyroblastic Biotite Gneiss,Proterozoic,Porphyroblastic biotite gneiss,,"Central PiedmontFrom expanded explanation (ref. VA002):Porphyroblastic biotite gneiss. Light-gray, medium grained, segregation-layered gneiss, contains prominent potassium feldspar porphyroblasts. Mineralogy: quartz + biotite + plagioclase + potassium feldspar + muscovite ñ hornblende; accessory minerals includeepidote, apatite, and opaque minerals.",VA003,biotite gneiss,,,VA001 VA002VA003
VA,bgr,bgr,bgr;0,VAbgr;0,0,,Burkeville Pluton,Proterozoic,Burkeville pluton - Granodiorite and monzonite.,,"Central PiedmontFrom expanded explanation (ref. VA002):Burkeville pluton. Grayish-blue, fine- to medium grained, massive to faintly foliated; composition ranges from granodiorite to monzonite. Mineralogy: oligoclase + microcline + quartz + biotite + epidote + apatite + zircon. Geophysical signature: diffuse pattern of negative magnetic and circular positive radiometric anomalies. The pluton was originally referred to as the Burkeville granite (Husted, 1942), and is the ""granite in the Burkevillegranite quarry"" of Steidtmann (1945); the pluton intrudes migmatitic paragneiss (mpg).",VA003,granodiorite,monzonite,,VA001 VA002VA003
VA,bgs,bgs,bgs;0,VAbgs;0,0,,Biotite Gneiss and Schist,Proterozoic,Biotite gneiss and schist.,,"Central PiedmontFrom expanded explanation (ref. VA002):Biotite gneiss and schist:. Dark-gray, medium grained, foliated and broadly-layered. Mineralogy: biotite + plagioclase + potassium feldspar + quartz + muscovite; accessory minerals include titanite, epidote, and opaque minerals.",VA003,gneiss,schist,,VA001 VA002VA003
VA,bmgl,bmgl,bmgl;0,VAbmgl;0,0,,Biotite-Muscovite Granite,Proterozoic,Biotite-muscovite granite,,"Southeastern PiedmontFrom expanded explanation (ref. VA002):Biotite-muscovite granite. Light-gray, fine- to coarse grained, muscovite-biotite granite, biotite-muscovite granite, and leucogranite with accessory garnet. The granite is undatedbut interpreted as part of the Pennsylvanian-Permian suite of granites, and considered as part of the Wise pluton, which can be traced into North Carolina (McSween and others, 1991).",VA003,granite,,,VA001 VA002VA003
VA,bo,bo,bo;0,VAbo;0,0,,Buffalo Granite,Proterozoic,Buffalo granite - Granite,,"Carolina Slate BeltFrom expanded explanation (ref. VA002):Buffalo granite (Laney, 1917). Light-gray, coarse-grained, porphyritic granite to granodiorite. Mineralogy: quartz + potassium feldspar + plagioclase + biotite; accessory minerals include apatite and zircon. Hydrothermal alteration to sericite, epidote, kaolin, and chlorite is common. Geophysical signature: positive radiometric anomaly associated with elevated potassium and thorium values. This unit is included in the Clarksville batholith of Horton and others (1993).",VA003,granite,,,VA001 VA002VA003
