Code	Description
1000	1000: Residential buildings
1100	1100: Single-family buildings
1110	1110: Detached units
1120	1120: Attached units
1121	1121: Duplex structures
1122	1122: Zero lot line, row houses, etc
1130	1130: Accessory units
1140	1140: Townhouses
1150	1150: Manufactured housing
1200	1200: Multifamily structures
1300	1300: Other specialized residential structures
1310	1310: Barracks
1320	1320: Dormitories
1330	1330: Hotels, motels, and tourist courts
1340	1340: Single room occupancy units
1350	1350: Temporary structures, tents, etc for shelter
1360	1360: Other structurally converted buildings
2000	2000: Commercial buildings and other specialized structures
2100	2100: Office or bank building
2110	2110: Office building with drive-through facility
2200	2200: Store or shop building
2210	2210: Shop or store building with drive-through facility
2220	2220: Restaurant building
2230	2230: Standalone store or shop building
2240	2240: Department store building
2250	2250: Warehouse discount store building
2260	2260: Market shops including open markets
2270	2270: Gasoline station
2280	2280: Automobile repair and service structures
2300	2300: Office or store building with residence on top
2400	2400: Office building over storefronts
2500	2500: Malls, shopping centers, or collection of shops
2510	2510: Neighborhood center (convenience with one or more anchors)
2520	2520: Community center (general merchandise with two or more anchors)
2530	2530: Regional center (enclosed mall with two or more anchors)
2540	2540: Superregional center (similar to regional, but has three or more anchors)
2550	2550: Fashion/specialty center (higher end, fashion-oriented stores)
2560	2560: Power center (category-dominated anchors with few small tenants)
2570	2570: Theme or festival center (leisure, tourist-oriented, restaurants)
2580	2580: Outlet or discount center (manufacturer outlet stores)
2590	2590: Other kinds of shopping centers
2591	2591: Convenience stores or centers
2592	2592: Home improvement center
2593	2593: Car care center
2600	2600: Industrial buildings and structures
2610	2610: Light industrial structures and facilities
2611	2611: Loft building
2612	2612: Mill-type factory structures
2613	2613: One-story modern manufacturing plants
2614	2614: Industrial parks
2615	2615: Laboratory or specialized industrial facility
2620	2620: Heavy industrial structures and facilities
2621	2621: Assembly and construction-type plants
2622	2622: Process plants (metals, chemicals, etc)
2630	2630: Oil refinery facility
2631	2631: Refinery with anchored equipment < 100,000 barrels/day
2632	2632: Refinery with unanchored equipment < 100,000 barrels/day
2633	2633: Refinery with anchored equipment > 100,000 barrels/day
2634	2634: Refinery with unanchored equipment > 100,000 barrels/day
2635	2635: Refinery pumping plant with anchored equipment
2636	2636: Refinery pumping plant with unanchored equipment
2700	2700: Warehouse or storage facility
2710	2710: Mini-warehouse
2720	2720: High-rise mini-warehouse
2730	2730: Warehouse structure
2740	2740: Produce warehouse
2750	2750: Refrigerated warehouse or cold storage
2760	2760: Large area distribution or transit warehouse
2770	2770: Wharf and dock shed
2780	2780: Tank farms
2781	2781: Tank farms with anchored tanks
2782	2782: Tank farms with unanchored tanks
3000	3000: Public assembly structures
3100	3100: Theater
3110	3110: Performance theater
3120	3120: Movie theater
3130	3130: Amphitheater
3140	3140: Drive-in theaters
3200	3200: Indoor games facility
3300	3300: Sports stadium or arena
3400	3400: Exhibition, convention, or conference structure
3500	3500: Churches, synagogues, temples, mosques, etc
3600	3600: Capitol buildings
3700	3700: Covered or partially covered atriums and public enclosures
3800	3800: Other community structures
3900	3900: Passenger assembly
3910	3910: Mixed mode terminal
3920	3920: Airport terminal
3930	3930: Bus terminal
3940	3940: Train station
3950	3950: Harbor or port terminal
4000	4000: Institutional or community facilities
4100	4100: Medical facility
4110	4110: Hospital building
4120	4120: Medical clinic building
4200	4200: School or university buildings
4210	4210: Grade school
4220	4220: College or university facility
4230	4230: Trade or specialty school facility
4300	4300: Library building
4400	4400: Museum, exhibition, or similar facility
4410	4410: Exhibitions and art galleries
4420	4420: Planetarium
4430	4430: Aquarium
4440	4440: Outdoor facility, no major structure
4450	4450: Zoological parks
4500	4500: Public safety-related facility
4510	4510: Fire and rescue station
4520	4520: Police station
4530	4530: Emergency operation center
4600	4600: Jails, penitentiaries, detention centers, and other correctional facilities
4700	4700: Cemetery, monument, tombstone, or mausoleum
4800	4800: Funeral homes and cremation facilities
5000	5000: Transportation-related facilities
5100	5100: Linear or network feature
5110	5110: Pedestrian trail, sidewalks, etc
5120	5120: Bicycle and other nonmotorized paths
5130	5130: Highways and roads
5131	5131: Principal arterial--interstate
5132	5132: Principal arterial--freeway and expressway
5133	5133: Other principal arterial
5134	5134: Minor arterial
5135	5135: Major collector
5136	5136: Minor collector
5137	5137: Local road
5138	5138: Alley
5139	5139: Other nonclassified road
5140	5140: Highway bridges and tunnels
5150	5150: Railroads, including monorails, etc
5160	5160: Waterways
5200	5200: Automobile parking facilities
5210	5210: Surface parking, open
5220	5220: Surface parking, covered
5230	5230: Multistoried parking structure with ramps
5240	5240: Underground parking structure with ramps
5250	5250: Rooftop parking facility
5300	5300: Bus stop shelter
5400	5400: Bus or truck maintenance facility
5500	5500: Water transportation or marine related
5510	5510: Port fuel facility
5511	5511: Port fuel facility with anchored tanks, with back-up power
5512	5512: Port fuel facility with anchored tanks, without back-up power
5513	5513: Port fuel facility with unanchored tanks, with back-up power
5514	5514: Port fuel facility with unanchored tanks, without back-up power
5515	5515: Port fuel facility with buried tanks
5520	5520: Pier, dock, wharf, or jetty
5530	5530: Lighthouse
5540	5540: Riverboats and other anchored facilities
5550	5550: Port storage or warehouse
5551	5551: Stationary port handling equipment
5552	5552: Rail mounted port handling equipment
