Code	Description
1000	1000: Residence or accommodation functions
1100	1100: Private household
1200	1200: Housing services for the elderly
1210	1210: Retirement housing services
1220	1220: Congregate living services
1230	1230: Assisted-living services
1240	1240: Life care or continuing care services
1250	1250: Skilled-nursing services
1300	1300: Hotels, motels, or other accommodation services
1310	1310: Bed and breakfast inn
1320	1320: Rooming and boarding
1330	1330: Hotel, motel, or tourist court
1340	1340: Casino hotel
2000	2000: General sales or services
2100	2100: Retail sales or service
2110	2110: Automobile sales or service establishment
2111	2111: Car dealer
2112	2112: Bus, truck, mobile homes, or large vehicles
2113	2113: Bicycle, motorcycle, ATV, etc
2114	2114: Boat or marine craft dealer
2115	2115: Parts, accessories, or tires
2116	2116: Gasoline service
2120	2120: Heavy consumer goods sales or service
2121	2121: Furniture or home furnishings
2122	2122: Hardware, home centers, etc
2123	2123: Lawn and garden supplies
2124	2124: Department store, warehouse club or superstore
2125	2125: Electronics and Appliances
2126	2126: Lumber yard and building materials
2127	2127: Heating and plumbing equipment
2130	2130: Durable consumer goods sales and service
2131	2131: Computer and software
2132	2132: Camera and photographic supplies
2133	2133: Clothing, jewelry, luggage, shoes, etc
2134	2134: Sporting goods, toy and hobby, and musical instruments
2135	2135: Books, magazines, music, stationery
2140	2140: Consumer goods, other
2141	2141: Florist
2142	2142: Art dealers, supplies, sales and service
2143	2143: Tobacco or tobacconist establishment
2144	2144: Mail order or direct selling establishment
2145	2145: Antique shops, flea markets, etc
2150	2150: Grocery, food, beverage, dairy, etc
2151	2151: Grocery store, supermarket, or bakery
2152	2152: Convenience store
2153	2153: Specialty food store
2154	2154: Fruit and vegetable store
2155	2155: Beer, wine, and liquor store
2160	2160: Health and personal care
2161	2161: Pharmacy or drug store
2162	2162: Cosmetic and beauty supplies
2163	2163: Optical
2200	2200: Finance and Insurance
2210	2210: Bank, credit union, or savings institution
2220	2220: Credit and finance establishment
2230	2230: Investment banking, securities, and brokerages
2240	2240: Insurance-related establishment
2250	2250: Fund, trust, or other financial establishment
2300	2300: Real estate, and rental and leasing
2310	2310: Real estate services
2320	2320: Property management services
2321	2321: Commercial property-related
2322	2322: Rental housing-related
2330	2330: Rental and leasing
2331	2331: Cars
2332	2332: Leasing trucks, trailers, RVs, etc
2333	2333: Recreational goods rental
2334	2334: Leasing commercial, industrial machinery, and equipment
2335	2335: Consumer goods rental
2336	2336: Intellectual property rental (video, music, software, etc)
2400	2400: Business, professional, scientific, and technical services
2410	2410: Professional services
2411	2411: Legal services
2412	2412: Accounting, tax, bookkeeping, payroll services
2413	2413: Architectural, engineering, and related services
2414	2414: Graphic, industrial, interior design services
2415	2415: Consulting services (management, environmental, etc)
2416	2416: Research and development services (scientific, etc)
2417	2417: Advertising, media, and photography services
2418	2418: Veterinary services
2420	2420: Administrative services
2421	2421: Office and administrative services
2422	2422: Facilities support services
2423	2423: Employment agency
2424	2424: Business support services
2425	2425: Collection agency
