HYPERLINK,PropertyID,LegacyID,Available,Address,AddressZip,BrownField,FIPS,HubZone,OfficePark,OwnerName,OwnerPhone,OwnerEmail,Sale,TownFips,Waterway,LAMBERT_Y,LAMBERT_X,Voltage,Phase,contact,AvailableDate,AddressStreet,AddressCity,AddressState,PropertyName,Longitude,Latitude,DEQStatusLetter,ResearchPark,FeaturedLocation,IndustrialPark,HighwayIntername,HighwayInterDistance,HighwayInterchangeName,HighwayArteryName,HighwayArteryDistance,HighwayAccessName,ForeignTradeZone,NaturalGasDistance,RailroadDistance,PublicTransportationName,PubliclyOwned,PropertyType,NewMarketTaxCreditZone,NatureOfContamination,NaturalGasPropaneEquipped,NaturalGasPressure,NaturalGasLineSize,RemediationPlan,RailAccess,RailroadSiding,SewerProviderDistance,SewerOnSiteTreatmentPlant,SewerLineSize,SewerAvailCapacityTo,SewerPlantTotalCapacity,TelecommBroadbandLevel,TelecommWirelessBroadband,TelecommRedundantRoute,TelecommOther,TelecommISDN,TelecommFiberOpticLine,TelecommFiber,TelecommDigital,TechnologyZone,SubmittedDate,SubmittedBy,ShowOnVAScan,SepticSystem,SepticCapacity,VAEnterpriseZone,WaterAvailCapacityToProperty,WaterProviderDistance,WellCapacity,WaterwayName,WaterwayChannelDepth,WaterTreatmentPlantTotalCap,WaterTankCapacity,WaterOnSiteTreatmentPlant,WaterLineSize,SecondaryRailProviderName,RailProviderName,AirportGeneral,AirportGenDistance,AirportCommercial,AirportCommDistance,Amps,secondaryelectricprovider,electricprovider,SewerProvider,TelecommProvider,WaterProvider,GasProvider,LocalityName,brokercontact,ZoningRestrictionsText,ZoningClassification,ZoningRestrictions,ZoningConform,WithinCorporateLimits,Lease_Type,recent_use,Roof_Type,ConstructionType,SpaceTotalAvailable,industrialceilingheight,officeceilingheight,OBJECTID,SITE_NO,Expr1,OFFICIAL,ACCURACY,GlobalID,LargestContParcel,AcreageTotal,imageURL,thumbnailURL,Shapearea,Shapelen,SDE_VECTORSDESITES_POLYGON_DETAILS_SVarea,SDE_VECTORSDESITES_POLYGON_DETAILS_SVlen
http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?propertyid=10063S,233094,10063S,1,Jack Guynn Drive and Glendale Road,24333,0,51640,1,0,City of Galax,276-236-5773,kbarker@galaxva.com,0,,0,77802.18725333,-124392.00821317,12 KV,3,"Barker, Keith E.",,Jack Guynn Drive and Glendale Road,Galax,VA,Glendale Industrial Park,,,0,0,0,1,I-81,9,Exit 14,U.S. Route 58/221,0.1,Jack Guynn Drive,0,0,,,1,Site,0,n/a,0,,,0,0,0,0,0,10,,3000000,,0,0,,0,1000,1,1,0,,Tom Elliott,1,0,,1,,0,,,,4000000,,0,8,,,Twin County Airport,10,Piedmont Triad International Airport,70,,,American Electric Power,City of Galax,CenturyLink,City of Galax,Not Available,Galax,,,"I, Industrial",0,1,1,,,,,,,,3299,10063S,51640,1,1,{B4B6A803-388C-42C1-90DE-01A5408B051B},8,30.7,,,381015.631184122,2674.17180805608,,
http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?propertyid=20004S,233178,20004S,1,S Durant Road and Thacker Ave,24426,0,51580,0,0,City of Covington,,,0,,0,196509.6000186,-43217.00008755,45 KVA,,"Hull, John",,S Durant Road and Thacker Ave,Covington,VA,Jamison Commerce Center,,,0,0,0,0,I-64,0.1,Exit 14,S Durant Rd (Route 154),0,Thacker Ave,0,0,,,1,Site,0,,0,150,8,0,1,1,0,0,8,,,,0,0,,1,,1,1,0,,Ann Blair Miller,0,0,,1,,0,,,,,,0,10,,CSX Transportation,Greenbrier Valley Airport,15,Roanoke-Blacksburg Regional Airport,45,,,Dominion Virginia Power,City of Covington,nTelos,City of Covington,Columbia Gas of Virginia,Covington,,,C-3,0,0,1,,,,,,,,3241,20004S,51580,1,1,{56FC61E0-9D78-433F-BA1C-C0AA3FCB3311},2.6,2.6,,,234979.591070799,2233.98260665655,,
http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?propertyid=233184,233184,20010S,1,Commerce Road and Technology Drive,24401,0,51790,0,0,Private,,,0,,0,242497.41482122,41778.80861257,230,3,"Hamilton (GONE), William",,Commerce Road and Technology Drive,Staunton,VA,Green Hills Industry and Technology Center,,,0,0,0,1,I-81,1.6,Exit #225,U.S. Route 11,0,Technology Drive,0,0,,,0,Site,0,,0,45,6,0,0,0,0,0,8,1700000,4900000,,0,0,Dual fiber is available.,0,0,1,1,0,,Joan Hollen,1,0,,1,2543000,0,,,,8000000,,0,10,,CSX Transportation,Shenandoah Valley Regional Airport,15,Shenandoah Valley Regional Airport,15,,,Dominion Virginia Power,City of Staunton,nTelos,City of Staunton,Columbia Gas of Virginia,Staunton,,,"I-2, Heavy Industrial",0,1,1,,,,,,,,3284,20010S,51790,1,1,{9634BDE1-96DE-4824-8F44-6FDADCD0F87A},48,210,,,1117652.52466989,8064.23934443622,,
http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?propertyid=20041S,233214,20041S,1,Ridgeway Street at Main Street,24422,0,51005,1,0,Town of Clifton Forge,,,0,51493,0,201834.38037497,-27100.29933378,440,,"Slaydon, Herb",,Ridgeway Street at Main Street,Clifton Forge,VA,Clifton Forge Business Park,,,0,0,0,1,I-64,1,,US-220,0.5,Ridgeway St & Main St,1,0,0,,1,Site,1,,0,High,6,0,0,0,0,0,6,,,,0,0,,0,,1,0,0,,Ann Blair Miller,1,0,,1,3000000,0,,,0,0,,0,10,,,Ingalls Field Airport,20,Roanoke-Blacksburg Regional Airport,45,,,Dominion Virginia Power,Town of Clifton Forge,Lumos Networks,Alleghany County,Columbia Gas of Virginia,Alleghany,,,M-2,0,0,1,,,,,,,,3008,20041S,51005,1,1,{B9178A35-C95E-497F-BC92-69084BB36D93},10,20.5,,,79398.383416192,1212.30844461929,,
http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?propertyid=20042S,233215,20042S,1,Milton Ray Court and Ebert Rd,22603,0,51069,0,0,Carrol Construction,,,0,,0,359652.6998623,118435.79993898,34.5 KV,,"Barker, Patrick",,Milton Ray Court and Ebert Rd,Winchester,VA,Carroll Industrial Park,,,0,0,0,1,I-81,1,Exit 317,U.S. Route 11,0.5,Ebert Road,0,5780,,,0,Site,0,,0,,6,0,1,1,0,0,8,,,,1,1,,1,2000,1,1,1,,Patrick Barker,1,0,,0,,0,,,,,,0,10,,Winchester & Western,Winchester Regional Airport,5,Washington Dulles International Airport,50,,,Shenandoah Valley Electric Cooperative,Frederick County Sanitation Authority,Verizon,Frederick County Sanitation Authority,Washington Gas (Shenandoah Station),Frederick,,,"M-2, General Industrial",0,1,0,,,,,,,,3424,20042S,51069,1,1,{BAD90D91-AA4D-4FC6-81A6-0C410C7E9408},80,107,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=115456,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=115456,421160.356851768,5527.65274304253,,
http://virginiascan.yesvirginia.org/Site_Selection/PropertyDetails.aspx?propertyid=233216,233216,20043S,1,Mill Lane and Southside Drive,24153,0,51775,0,0,MPW Group LLC,,,0,,0,142764.83507137,-51105.20529091,12 KV,,"Payne, Melinda",,Mill Lane and Southside Drive,Salem,VA,CST Industrial Park,,,0,0,0,1,I-81,1.6,,U.S. Route 11/460,0.5,0,1,0,0,,0,Site,0,,0,,6,0,0,0,0,0,8,,150,,0,0,,0,,0,0,0,1988-12-12T00:00:00.000Z,Joe Yates,1,0,,0,,0,0,,0,0,0,0,8,,,Roanoke-Blacksburg Regional Airport,12,Roanoke-Blacksburg Regional Airport,12,,,City of Salem,City of Salem,Verizon,City of Salem,Roanoke Gas Company,Salem,,,Light Manufacturing & Heavy Manufacturing,0,1,1,,,,,,,,3054,,51775,1,1,{67FD4CDE-5FA1-47B8-9236-842B9AE5ED5E},4.6,8.67,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=120444,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=120444,36494.8013025027,816.42018968827,,
http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?propertyid=20051S,233224,20051S,1,Welltown Road and McGhee Road,22603,0,51069,0,0,Lenoir City Company of Virginia,,,0,,0,358593.79984525,116632.49987376,34.5 KV,,"Barker, Patrick",,Welltown Road and McGhee Road,Winchester,VA,Stonewall Industrial Park,,,0,0,0,1,I-81,0.5,Exit 317,U.S. Route 11,2,0,0,0,500,,0,Site,0,,0,50,6,0,0,0,0,0,12,,,,1,1,,1,0,1,1,1,,Michelle Mende,1,0,,0,1000000,0,,,,4000000,,0,12,,Winchester & Western,Winchester Regional Airport,5,Washington Dulles International Airport,51,,,Rappahannock Electric Cooperative,Frederick County Sanitation Authority,Verizon,Frederick County Sanitation Authority,Washington Gas (Shenandoah Station),Frederick,,,"M-1, Light Industrial",0,1,0,,,,,,,,3422,20051S,51069,1,1,{A52E5C2F-F94B-43AD-A100-3B28F88E79D8},52.6,540,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=114999,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=114999,2040705.8106511,17530.5378307622,,
http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?propertyid=20059S,233232,20059S,1,Commerce Park Dr and Steeles Fort Rd,24472,0,51163,0,0,Bobby Berkstresser,,,0,,0,213708.70009417,23676.30003139,7.2 KV/12.5 KV,3,"Flint, Brandy",,Commerce Park Dr and Steeles Fort Rd,Raphine,VA,Whites Business Park,,,0,0,0,0,I-181,0.2,Raphine Exit 205,U.S. Route 11,0.5,Leafy Ln,0,6000,,,0,Site,0,,0,350,20,0,0,0,33250,0,8,,,,0,0,1Gb-10Gb business class available,1,1500,1,1,0,1996-08-30T00:00:00.000Z,David Kleppinger,0,0,,0,,0,,,,,,0,6,,,Waynesboro/Eagles Nest Airport,25,Shenandoah Valley Regional Airport,35,,,Dominion Virginia Power,Rockbridge County Public Service Authority,Rockbridge Global Village,Rockbridge County Public Service Authority,Columbia Gas of Virginia,Rockbridge,,"Business Zone could be rezoned to I-1, if need be.",B-1,0,1,0,,,,,,,,3179,20059S,51163,1,1,{76018F2F-3451-49A9-80E6-513C33C10F13},18,18,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=110806,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=110806,248832.572707818,2252.83914081908,,
http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?propertyid=20072S,233244,20072S,1,"Acorn Dr, N Liberty Street and Mt. Clinton Pike",22801,0,51660,0,0,Martin Eby & Others,,,0,,0,274098.18670992,55977.76739473,,3,"Shull, Brian",,"Acorn Dr, N Liberty Street and Mt. Clinton Pike",Harrisonburg,VA,Meadowbrooke Corporate Center,,,0,0,0,1,I-81,4,Northern Harrisonburg (Exit 25,State Route 42,0.25,Acorn Dr,0,0,0,,0,Site,1,,0,60,6,0,0,0,0,0,8,,,,0,0,"POPS, SMDS, CENTREX",1,,1,1,0,,John Loftus,1,0,,0,,0,,,0,0,,0,12,,,Shenandoah Valley Regional Airport,18,Shenandoah Valley Regional Airport,18,,,Harrisonburg Electric Commission,Rockingham County,Verizon,City of Harrisonburg,Columbia Gas of Virginia,Harrisonburg,"Kline, Ken",,B-2 Conditional and M-1,0,0,1,,,,,,,,3070,20072S,51660,1,1,{3E33B165-DB3D-4D44-8EB4-4656FA44517B},32,32,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=121011,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=121011,290139.526738903,3834.00930833233,,
http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?propertyid=20073S,233245,20073S,1,Kratzer Road,22802,0,51165,0,0,Roy Simmons,,,0,,0,275211.05796133,55636.86102155,,,"Hollen, Joan",,Kratzer Road,Harrisonburg,VA,North Pointe Corporate Center,,,0,0,0,1,I-81,5,,Route 42,0.25,Kratzer Road,0,0,1342,,0,Site,0,,0,400,6,0,1,0,0,0,8,,,,0,0,,0,,0,0,0,,Joan Hollen,1,0,,0,,0,,,0,0,,0,12,,Norfolk Southern Railway Company,Shenandoah Valley Regional Airport,12,Shenandoah Valley Regional Airport,12,,Dominion Virginia Power,Harrisonburg Electric Commission,City of Harrisonburg,Verizon,City of Harrisonburg,Columbia Gas of Virginia,Rockingham,,,M-1 & M-2,0,0,1,,,,,,,,3071,20073S,51660,1,1,{1C8CF18D-31F3-48CF-A0EA-536467ABA624},25,72,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=107173,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=107173,338622.020366984,4062.13159281263,,
