X,Y,OBJECTID,CODE,NAME,SYMBOL,SENIORCENTER,ADDRESS
-77.087247,38.848033,2,6,Charles Drew Comm. Center,CC,0,3500 23RD ST S
-77.112094,38.872941,1,5,Barrett Elementary School,ES,0,4401 HENDERSON RD
-77.139619,38.917246,3,5,Jamestown Elementary School,ES,0,3700 N DELAWARE ST
-77.130096,38.86548,4,5,Kenmore Middle School,MS,0,200 S CARLIN SPRINGS RD
-77.086897,38.892304,5,5,Key Elementary School,ES,0,2300 KEY BLVD
-77.143376,38.894528,6,6,Lee Comm. Center,CC,1,5722 LEE HWY
-77.122582,38.860827,7,14,Long Branch Nature Center,NC,0,625 S CARLIN SPRINGS RD
-77.089195,38.875032,8,5,Long Branch Elementary School,ES,0,33 N FILLMORE ST
-77.113964,38.873087,9,6,Lubber Run Comm. Center,CC,0,300 N PARK DR
-77.123608,38.923334,10,6,Madison Comm. Center,CC,1,3829 N STAFFORD ST
-77.146755,38.878633,12,5,McKinley Elementary School,ES,0,1030 N MCKINLEY RD
-77.125911,38.863599,11,2,Glencarlyn Library,LB,0,300 S KENSINGTON ST
-77.070389,38.850418,14,5,Oakridge Elementary School,ES,0,1414 24TH ST S
-77.15093,38.900635,13,5,Nottingham Elementary School,ES,0,1601 WILSON BLVD
-77.159147,38.892315,18,5,Tuckahoe Elementary School,ES,0,6550 26TH ST N
-77.113707,38.906764,17,5,Taylor Elementary School,ES,0,2600 N STUART ST
-77.102368,38.890177,15,5,Arlington Science Focus School,AES,0,1501 N LINCOLN ST
-77.138984,38.883111,16,5,Swanson Middle School,MS,0,5800 N WASHINGTON BLVD
-77.106008,38.847673,20,5,Claremont Elementary School,AES,0,4700 S CHESTERFIELD RD
-77.146845,38.909694,22,5,Williamsburg Middle School,MS,0,3600 N HARRISON ST
-77.135849,38.872911,21,5,Ashlawn Elementary School,ES,0,5950 8TH RD N
-77.109304,38.846973,19,5,Wakefield High School,HS,0,4901 S CHESTERFIELD RD
-77.140128,38.902835,23,5,Yorktown High School,HS,0,5201 N 28TH ST
-77.077295,38.894636,24,7,Wilson Senior Center,OC,0,3300 WILSON BLVD
