objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1224410","1040474","FCC: Antenna Structure Registration (GIS)","2/2/2012","38.0589","-78.4906","","1719 HYDRAULIC RD.","CHARLOTTESVILLE","VA","","51","540","135.372344","54.9","","5","","","Virginia Electric and Power Company","","","","","","","","","","","","","","","","",""
"1224121","1020761","FCC: Antenna Structure Registration (GIS)","11/30/2007","38.0306","-78.4892","","CORNER 7TH ST SW &amp; DELEVEN ST","CHARLOTTESVILE","VA","","51","540","146.25209","118.9","","5","","","MONTICELLO MEDIA, LLC","","","","","","","","","","","","","","","","",""
"1224333","1032856","FCC: Antenna Structure Registration (GIS)","11/21/1997","38.0322","-78.4917","","ON W. MAIN (HWY 29) .1 MI OF INT. OF MAIN AND 7TH ST.","CHARLOTTESVILLE","VA","","51","540","151.390441","69","","5","","","NORFOLK SOUTHERN CORPORATION","","","","","","","","","","","","","","","","",""
"1243219","0","FCC: Land Mobile - Private (GIS)","","38.0292","-78.4767","","","CHARLOTTESVILLE","VA","","51","540","141.423446","0","","5","","","Cycle Systems Inc","","","","","","","","","","","","","","","","",""
"1242952","0","FCC: Land Mobile - Private (GIS)","","38.0169","-78.5186","","","Ruther Glen","VA","","51","540","141.574996","0","","3","","","Caroline County Public Schools","","","","","","","","","","","","","","","","",""
"1242877","0","FCC: Land Mobile - Private (GIS)","","38.0308","-78.4994","","","Charlotttesville","VA","","51","540","146.901885","0","","7","","","University of Virginia - Health Systems","","","","","","","","","","","","","","","","",""
"1242302","0","FCC: Land Mobile - Private (GIS)","","38.0283","-78.477799","","100 6th St SE  MP 181.4","Charlottsville","VA","","51","540","133.459182","21","POLE","5","","","Buckingham Branch Railroad Company","","","","","","","","","","","","","","","","",""
"1242079","0","FCC: Land Mobile - Private (GIS)","","38.0311","-78.4986","","","Charlottesville","VA","","51","540","152.032211","0","","7","","","University of Virginia - Health Systems","","","","","","","","","","","","","","","","",""
"1241684","0","FCC: Land Mobile - Private (GIS)","","38.0489","-78.502999","","","CHARLOTTESVILLE","VA","","51","540","143.872909","0","","5","","","GAP INC","","","","","","","","","","","","","","","","",""
"1241574","0","FCC: Land Mobile - Private (GIS)","","38.0306","-78.497999","","1215 Lee Street","Charlottesville","VA","","51","540","146.017242","53.6","BMAST","7","","","University of Virginia - Health Systems","","","","","","","","","","","","","","","","",""
"1241573","0","FCC: Land Mobile - Private (GIS)","","38.0311","-78.4986","","1215 Lee Street","Charlottesville","VA","","51","540","152.032211","53.8","BMAST","7","","","University of Virginia - Health Systems","","","","","","","","","","","","","","","","",""
"1241277","0","FCC: Land Mobile - Private (GIS)","","38.0311","-78.4772","","312 CONNOR DRIVE","CHARLOTTESVILLE","VA","","51","540","153.1566","0","","","","","TARGET STORE T1858","","","","","","","","","","","","","","","","",""
"1241179","0","FCC: Land Mobile - Private (GIS)","","38.0306","-78.4803","","","Charlottesville","VA","","51","540","141.658859","0","","","","","Paramount Theatre","","","","","","","","","","","","","","","","",""
"1240844","0","FCC: Land Mobile - Private (GIS)","","38.0117","-78.5028","","1158 5TH STREET SW","CHARLOTTESVILLE","VA","","51","540","117.154273","0","","5","","","BURGER BUSTERS, INC.","","","","","","","","","","","","","","","","",""
"1240843","0","FCC: Land Mobile - Private (GIS)","","38.0478","-78.5039","","801 EMMET STREET","CHARLOTTESVILLE","VA","","51","540","146.885604","0","","5","","","BURGER BUSTERS, INC.","","","","","","","","","","","","","","","","",""
