Name: “Table 1 of 1 on page 30 of 48”,Name: “Table 1 of 1 on page 30 of 48”,Name: “Table 1 of 1 on page 30 of 48”,Name: “Table 1 of 1 on page 30 of 48”,Name: “Table 1 of 1 on page 30 of 48”,Name: “Table 1 of 1 on page 30 of 48”,Name: “Table 1 of 1 on page 30 of 48”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,
Phanerozoic,Paleozoic,Permian,Late-Permian,Kazanian-,253,258
,,,,Ufimian,,
Phanerozoic,Paleozoic,Permian,Late-Permian,Ufimian,253,258
Phanerozoic,Paleozoic,Permian,Early-Permian,,258,286
Phanerozoic,Paleozoic,Permian,Early-Permian,Kungurian,258,263
Phanerozoic,Paleozoic,Permian,Early-Permian,Artinskian,263,268
Phanerozoic,Paleozoic,Permian,Early-Permian,Sakmarina,268,286
Phanerozoic,Paleozoic,Permian,Early-Permian,Sakmarina-,268,286
,,,,Asselian,,
Phanerozoic,Paleozoic,Permian,Early-Permian,Asselian,268,286
Phanerozoic,Paleozoic,Carboniferous,,,286,360
Phanerozoic,Paleozoic,Carboniferous,Late-,,286,320
,,,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,Late-,,286,320
,,Pennsylvanian,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,,,286,320
,,Pennsylvanian,,,,
Phanerozoic,Paleozoic,Carboniferous,Late-,Gzelian,286,296
,,,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous,Late-,Kasimovian,286,296
,,,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous,Late-,Gzelian-,286,296
,,,Carboniferous,Kasimovian,,
Phanerozoic,Paleozoic,Carboniferous-,Late-,Gzelian,286,296
,,Pennsylvanian,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,Late-,Kasimovian,286,296
,,Pennsylvanian,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,Late-,Gzelian-,286,296
,,Pennsylvanian,Carboniferous,Kasimovian,,
Phanerozoic,Paleozoic,Carboniferous,Late-,Moscovian,296,311.3
,,,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,Late-,Moscovian,296,311.3
,,Pennsylvanian,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous,Late-,Bashkirian,311.3,320
,,,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,Late-,Bashkirian,311.3,320
,,Pennsylvanian,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous,Early-,,320,360
,,,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,,,320,360
,,Mississippian,,,,
Phanerozoic,Paleozoic,Carboniferous-,Early-,,320,360
,,Mississippian,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous,Early-,Serpukhovian,320,333
,,,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,Early-,Serpukhovian,320,333
,,Mississippian,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous,Early-,Visean,333,352
,,,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,Early-,Visean,333,352
,,Mississippian,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous,Early-,Tournaisian,352,360
,,,Carboniferous,,,
Phanerozoic,Paleozoic,Carboniferous-,Early-,Tournaisian,352,360
,,,27,,,
