Name: “Table 1 of 1 on page 27 of 48”,Name: “Table 1 of 1 on page 27 of 48”,Name: “Table 1 of 1 on page 27 of 48”,Name: “Table 1 of 1 on page 27 of 48”,Name: “Table 1 of 1 on page 27 of 48”,Name: “Table 1 of 1 on page 27 of 48”,Name: “Table 1 of 1 on page 27 of 48”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,
Phanerozoic,Cenozoic,Tertiary-Neogene,Late-Pliocene,Piacenzian,1.6,3.4
Phanerozoic,Cenozoic,Tertiary,Late-Pliocene,Piacenzian,1.6,3.4
Phanerozoic,Cenozoic,Tertiary,Early-Pliocene,,3.4,5.3
Phanerozoic,Cenozoic,Tertiary-Neogene,Early-Pliocene,,3.4,5.3
Phanerozoic,Cenozoic,Tertiary,Pliocene,Zanclean,3.4,5.3
Phanerozoic,Cenozoic,Tertiary-Neogene,Early-Pliocene,Zanclean,3.4,5.3
Phanerozoic,Cenozoic,Tertiary,Early-Pliocene,Zanclean,3.4,5.3
Phanerozoic,Cenozoic,Tertiary,Miocene,,5.3,23.7
Phanerozoic,Cenozoic,Tertiary-Neogene,Miocene,,5.3,23.7
Phanerozoic,Cenozoic,Tertiary,Late-Miocene,,5.3,11.2
Phanerozoic,Cenozoic,Tertiary-Neogene,Late-Miocene,,5.3,11.2
Phanerozoic,Cenozoic,Tertiary,Miocene,Messinian,5.3,6.5
Phanerozoic,Cenozoic,Tertiary-Neogene,Late-Miocene,Messinian,5.3,6.5
Phanerozoic,Cenozoic,Tertiary,Late-Miocene,Messinian,5.3,6.5
Phanerozoic,Cenozoic,Tertiary,Miocene,Tortonian,6.5,11.2
Phanerozoic,Cenozoic,Tertiary-Neogene,Late-Miocene,Tortonian,6.5,11.2
Phanerozoic,Cenozoic,Tertiary,Late-Miocene,Tortonian,6.5,11.2
Phanerozoic,Cenozoic,Tertiary,Middle-Miocene,,11.2,16.5
Phanerozoic,Cenozoic,Tertiary-Neogene,Middle-Miocene,,11.2,16.5
Phanerozoic,Cenozoic,Tertiary,Miocene,Serravallian,11.2,15.1
Phanerozoic,Cenozoic,Tertiary-Neogene,Middle-Miocene,Serravallian,11.2,15.1
Phanerozoic,Cenozoic,Tertiary,Middle-Miocene,Serravallian,11.2,15.1
Phanerozoic,Cenozoic,Tertiary,Miocene,Langhian,15.1,16.5
Phanerozoic,Cenozoic,Tertiary-Neogene,Middle-Miocene,Langhian,15.1,16.5
Phanerozoic,Cenozoic,Tertiary,Middle-Miocene,Langhian,15.1,16.5
Phanerozoic,Cenozoic,Tertiary,Early-Miocene,,16.5,23.7
Phanerozoic,Cenozoic,Tertiary-Neogene,Early-Miocene,,16.5,23.7
Phanerozoic,Cenozoic,Tertiary,Miocene,Burdigalian,16.5,21.8
Phanerozoic,Cenozoic,Tertiary-Neogene,Early-Miocene,Burdigalian,16.5,21.8
Phanerozoic,Cenozoic,Tertiary,Early-Miocene,Burdigalian,16.5,21.8
Phanerozoic,Cenozoic,Tertiary,Miocene,Aquitanian,21.8,23.7
Phanerozoic,Cenozoic,Tertiary-Neogene,Early-Miocene,Aquitanian,21.8,23.7
Phanerozoic,Cenozoic,Tertiary,Early-Miocene,Aquitanian,21.8,23.7
Phanerozoic,Cenozoic,Tertiary-Paleogene,,,23.7,66.4
Phanerozoic,Cenozoic,Tertiary,Oligocene,,23.7,36.6
Phanerozoic,Cenozoic,Tertiary-Paleogene,Oligocene,,23.7,36.6
Phanerozoic,Cenozoic,Tertiary,Late-Oligocene,,23.7,30.0
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Oligocene,,23.7,30.0
Phanerozoic,Cenozoic,Tertiary,Oligocene,Chattian,23.7,30.0
Phanerozoic,Cenozoic,Tertiary,Late-Oligocene,Chattian,23.7,30.0
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Oligocene,Chattian,23.7,30.0
Phanerozoic,Cenozoic,Tertiary,Early-Oligocene,,30.0,36.6
Phanerozoic,Cenozoic,Tertiary-Paleogene,Early-Oligocene,,30.0,36.6
Phanerozoic,Cenozoic,Tertiary,Oligocene,Rupelian,30.0,36.6
Phanerozoic,Cenozoic,Tertiary,Early-Oligocene,Rupelian,30.0,36.6
Phanerozoic,Cenozoic,Tertiary-Paleogene,Early-Oligocene,Rupelian,30.0,36.6
Phanerozoic,Cenozoic,Tertiary,Eocene,,36.6,57.8
Phanerozoic,Cenozoic,Tertiary-Paleogene,Eocene,,36.6,57.8
Phanerozoic,Cenozoic,Tertiary,Late-Eocene,,36.6,40.0
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Eocene,,36.6,40.0
Phanerozoic,Cenozoic,Tertiary,Eocene,Priabonian,36.6,40.0
Phanerozoic,Cenozoic,Tertiary,Late-Eocene,Priabonian,36.6,40.0
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Eocene,Priabonian,36.6,40.0
,,,24,,,
