Name: “Table 1 of 1 on page 31 of 48”,Name: “Table 1 of 1 on page 31 of 48”,Name: “Table 1 of 1 on page 31 of 48”,Name: “Table 1 of 1 on page 31 of 48”,Name: “Table 1 of 1 on page 31 of 48”,Name: “Table 1 of 1 on page 31 of 48”,Name: “Table 1 of 1 on page 31 of 48”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,
,,Mississippian,Carboniferous,,,
Phanerozoic,Paleozoic,Devonian,,,360,408
Phanerozoic,Paleozoic,Devonian,Late-Devonian,,360,374
Phanerozoic,Paleozoic,Devonian,Late-Devonian,Famennian,360,367
Phanerozoic,Paleozoic,Devonian,Late-Devonian,Frasnian,367,374
Phanerozoic,Paleozoic,Devonian,Middle-,,374,387
,,,Devonian,,,
Phanerozoic,Paleozoic,Devonian,Middle-,Givetian,374,380
,,,Devonian,,,
Phanerozoic,Paleozoic,Devonian,Middle-,Eifelian,380,387
,,,Devonian,,,
Phanerozoic,Paleozoic,Devonian,Early-Devonian,,387,408
Phanerozoic,Paleozoic,Devonian,Early-Devonian,Emsian,387,394
Phanerozoic,Paleozoic,Devonian,Early-Devonian,Siegenian,394,401
Phanerozoic,Paleozoic,Devonian,Early-Devonian,Gedinnian,401,408
Phanerozoic,Paleozoic,Silurian,,,408,438
Phanerozoic,Paleozoic,Silurian,Late-Silurian,,408,421
Phanerozoic,Paleozoic,Silurian,Late-Silurian,Pridolian,408,414
Phanerozoic,Paleozoic,Silurian,Late-Silurian,Ludlovian,414,421
Phanerozoic,Paleozoic,Silurian,Early-Silurian,,421,438
Phanerozoic,Paleozoic,Silurian,Early-Silurian,Wenlockian,421,428
Phanerozoic,Paleozoic,Silurian,Early-Silurian,Llandoverian,428,438
Phanerozoic,Paleozoic,Ordovician,,,438,505
Phanerozoic,Paleozoic,Ordovician,Late-Ordovician,,438,458
Phanerozoic,Paleozoic,Ordovician,Late-Ordovician,Ashgillian,438,448
Phanerozoic,Paleozoic,Ordovician,Late-Ordovician,Caradocian,448,458
Phanerozoic,Paleozoic,Ordovician,Middle-,,458,478
,,,Ordovician,,,
Phanerozoic,Paleozoic,Ordovician,Middle-,Llandeilan,458,468
,,,Ordovician,,,
Phanerozoic,Paleozoic,Ordovician,Middle-,Llanvirinian,468,478
,,,Ordovician,,,
Phanerozoic,Paleozoic,Ordovician,Early-Ordovician,,478,505
Phanerozoic,Paleozoic,Ordovician,Early-Ordovician,Arenigian,478,488
Phanerozoic,Paleozoic,Ordovician,Early-Ordovician,Tremadocian,488,505
Phanerozoic,Paleozoic,Cambrian,,,505,570
Phanerozoic,Paleozoic,Cambrian,Late-Cambrian,,505,523
Phanerozoic,Paleozoic,Cambrian,Late-Cambrian,Trempealeauan,505,523
Phanerozoic,Paleozoic,Cambrian,Late-Cambrian,Franconian,505,523
Phanerozoic,Paleozoic,Cambrian,Late-Cambrian,Dresbachian,505,523
Phanerozoic,Paleozoic,Cambrian,Late-Cambrian,Trempealeauan-,505,523
,,,,Franconian,,
Phanerozoic,Paleozoic,Cambrian,Late-Cambrian,Trempealeauan-,505,523
,,,,Dresbachian,,
Phanerozoic,Paleozoic,Cambrian,Late-Cambrian,Trempealeauan-,505,523
,,,,Franconian-,,
,,,,Dresbachian,,
Phanerozoic,Paleozoic,Cambrian,Late-Cambrian,Franconian-,505,523
,,,,Dresbachian,,
Phanerozoic,Paleozoic,Cambrian,Middle-,,523,540
,,,Cambrian,,,
Phanerozoic,Paleozoic,Cambrian,Early-Cambrian,,540,570
preCambrian,,,,,570,4500
Proterozoic,,,,,570,2500
,,,28,,,
