Name: “Table 1 of 1 on page 28 of 48”,Name: “Table 1 of 1 on page 28 of 48”,Name: “Table 1 of 1 on page 28 of 48”,Name: “Table 1 of 1 on page 28 of 48”,Name: “Table 1 of 1 on page 28 of 48”,Name: “Table 1 of 1 on page 28 of 48”,Name: “Table 1 of 1 on page 28 of 48”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,
Phanerozoic,Cenozoic,Tertiary,Middle-Eocene,,40.0,52.0
Phanerozoic,Cenozoic,Tertiary-Paleogene,Middle-Eocene,,40.0,52.0
Phanerozoic,Cenozoic,Tertiary,Eocene,Bartonian,40.0,43.6
Phanerozoic,Cenozoic,Tertiary,Middle-Eocene,Bartonian,40.0,43.6
Phanerozoic,Cenozoic,Tertiary-Paleogene,Middle-Eocene,Bartonian,40.0,43.6
Phanerozoic,Cenozoic,Tertiary,Eocene,Lutetian,43.6,52.0
Phanerozoic,Cenozoic,Tertiary,Middle-Eocene,Lutetian,43.6,52.0
Phanerozoic,Cenozoic,Tertiary-Paleogene,Middle-Eocene,Lutetian,43.6,52.0
Phanerozoic,Cenozoic,Tertiary,Early-Eocene,,52.0,57.8
Phanerozoic,Cenozoic,Tertiary-Paleogene,Early-Eocene,,52.0,57.8
Phanerozoic,Cenozoic,Tertiary,Eocene,Ypresian,52.0,57.8
Phanerozoic,Cenozoic,Tertiary,Early-Eocene,Ypresian,52.0,57.8
Phanerozoic,Cenozoic,Tertiary-Paleogene,Early-Eocene,Ypresian,52.0,57.8
Phanerozoic,Cenozoic,Tertiary,Paleocene,,57.8,66.4
Phanerozoic,Cenozoic,Tertiary-Paleogene,Paleocene,,57.8,66.4
Phanerozoic,Cenozoic,Tertiary,Late-Paleocene,,57.8,63.6
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Paleocene,,57.8,63.6
Phanerozoic,Cenozoic,Tertiary,Paleocene,Selandian,57.8,63.6
Phanerozoic,Cenozoic,Tertiary,Late-Paleocene,Selandian,57.8,63.6
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Paleocene,Selandian,57.8,63.6
Phanerozoic,Cenozoic,Tertiary,Paleocene,Thanetian,57.8,60.6
Phanerozoic,Cenozoic,Tertiary,Late-Paleocene,Thanetian,57.8,60.6
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Paleocene,Thanetian,57.8,60.6
Phanerozoic,Cenozoic,Tertiary,Paleocene,Selandian-,57.8,60.6
,,,,Thanetian,,
Phanerozoic,Cenozoic,Tertiary,Late-Paleocene,Selandian-,57.8,60.6
,,,,Thanetian,,
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Paleocene,Selandian-,57.8,60.6
,,,,Thanetian,,
Phanerozoic,Cenozoic,Tertiary,Paleocene,Unnamed,60.6,63.6
Phanerozoic,Cenozoic,Tertiary,Late-Paleocene,Unnamed,60.6,63.6
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Paleocene,Unnamed,60.6,63.6
Phanerozoic,Cenozoic,Tertiary,Paleocene,Selandian-,60.6,63.6
,,,,unnamed,,
Phanerozoic,Cenozoic,Tertiary,Late-Paleocene,Selandian-,60.6,63.6
,,,,unnamed,,
Phanerozoic,Cenozoic,Tertiary-Paleogene,Late-Paleocene,Selandian-,60.6,63.6
,,,,unnamed,,
Phanerozoic,Cenozoic,Tertiary,Early-Paleocene,,63.6,66.4
Phanerozoic,Cenozoic,Tertiary-Paleogene,Early-Paleocene,,63.6,66.4
Phanerozoic,Cenozoic,Tertiary,Paleocene,Danian,63.6,66.4
Phanerozoic,Cenozoic,Tertiary,Early-Paleocene,Danian,63.6,66.4
Phanerozoic,Cenozoic,Tertiary-Paleogene,Early-Paleocene,Danian,63.6,66.4
Phanerozoic,Mesozoic,,,,66.4,245
Phanerozoic,Mesozoic,Cretaceous,,,66.4,144
Phanerozoic,Mesozoic,Cretaceous,Late-Cretaceous,,66.4,97.5
Phanerozoic,Mesozoic,Cretaceous,Late-Cretaceous,Maastrichtian,66.4,74.5
Phanerozoic,Mesozoic,Cretaceous,Late-Cretaceous,Campanian,74.5,84.0
Phanerozoic,Mesozoic,Cretaceous,Late-Cretaceous,Santonian,84.0,87.5
Phanerozoic,Mesozoic,Cretaceous,Late-Cretaceous,Coniacian,87.5,88.5
Phanerozoic,Mesozoic,Cretaceous,Late-Cretaceous,Turonian,88.5,91.0
Phanerozoic,Mesozoic,Cretaceous,Late-Cretaceous,Cenomanian,91.0,97.5
Phanerozoic,Mesozoic,Cretaceous,Early-Cretaceous,,97.5,144
Phanerozoic,Mesozoic,Cretaceous,Early-Cretaceous,Albian,97.5,113
,,,25,,,
