Name: “Table 1 of 1 on page 29 of 48”,Name: “Table 1 of 1 on page 29 of 48”,Name: “Table 1 of 1 on page 29 of 48”,Name: “Table 1 of 1 on page 29 of 48”,Name: “Table 1 of 1 on page 29 of 48”,Name: “Table 1 of 1 on page 29 of 48”,Name: “Table 1 of 1 on page 29 of 48”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,
Phanerozoic,Mesozoic,Cretaceous,Early-Cretaceous,Aptian,113,119
Phanerozoic,Mesozoic,Cretaceous,Neocomian,,119,144
Phanerozoic,Mesozoic,Cretaceous,Early-,,119,144
,,,Cretaceous-,,,
,,,Neocomian,,,
Phanerozoic,Mesozoic,Cretaceous,Early-Cretaceous,Barremian,119,124
Phanerozoic,Mesozoic,Cretaceous,Early-,Barremian,119,124
,,,Cretaceous-,,,
,,,Neocomian,,,
Phanerozoic,Mesozoic,Cretaceous,Neocomian,Barremian,119,124
Phanerozoic,Mesozoic,Cretaceous,Early-Cretaceous,Hauterivian,124,131
Phanerozoic,Mesozoic,Cretaceous,Early-,Hauterivian,124,131
,,,Cretaceous-,,,
,,,Neocomian,,,
Phanerozoic,Mesozoic,Cretaceous,Neocomian,Hauterivian,124,131
Phanerozoic,Mesozoic,Cretaceous,Early-Cretaceous,Valanginian,131,134
Phanerozoic,Mesozoic,Cretaceous,Early-,Valanginian,131,134
,,,Cretaceous-,,,
,,,Neocomian,,,
Phanerozoic,Mesozoic,Cretaceous,Neocomian,Valanginian,131,134
Phanerozoic,Mesozoic,Cretaceous,Early-Cretaceous,Berriasian,134,144
Phanerozoic,Mesozoic,Cretaceous,Early-,Berriasian,134,144
,,,Cretaceous-,,,
,,,Neocomian,,,
Phanerozoic,Mesozoic,Cretaceous,Neocomian,Berriasian,134,144
Phanerozoic,Mesozoic,Jurassic,,,144,208
Phanerozoic,Mesozoic,Jurassic,Late-Jurassic,,144,163
Phanerozoic,Mesozoic,Jurassic,Late-Jurassic,Tithonian,144,152
Phanerozoic,Mesozoic,Jurassic,Late-Jurassic,Kimmeridgian,152,156
Phanerozoic,Mesozoic,Jurassic,Late-Jurassic,Oxfordian,156,163
Phanerozoic,Mesozoic,Jurassic,Middle-Jurassic,,163,187
Phanerozoic,Mesozoic,Jurassic,Middle-Jurassic,Callovian,163,169
Phanerozoic,Mesozoic,Jurassic,Middle-Jurassic,Bathonian,169,176
Phanerozoic,Mesozoic,Jurassic,Middle-Jurassic,Bajocian,176,183
Phanerozoic,Mesozoic,Jurassic,Middle-Jurassic,Aalenian,183,187
Phanerozoic,Mesozoic,Jurassic,Early-Jurassic,,187,208
Phanerozoic,Mesozoic,Jurassic,Early-Jurassic,Toarcian,187,193
Phanerozoic,Mesozoic,Jurassic,Early-Jurassic,Pliensbachian,193,196
Phanerozoic,Mesozoic,Jurassic,Early-Jurassic,Sinemurian,196,204
Phanerozoic,Mesozoic,Jurassic,Early-Jurassic,Hettangian,204,208
Phanerozoic,Mesozoic,Triassic,,,208,245
Phanerozoic,Mesozoic,Triassic,Late-Triassic,,208,230
Phanerozoic,Mesozoic,Triassic,Late-Triassic,Norian,208,225
Phanerozoic,Mesozoic,Triassic,Late-Triassic,Carnian,225,230
Phanerozoic,Mesozoic,Triassic,Middle-Triassic,,230,240
Phanerozoic,Mesozoic,Triassic,Middle-Triassic,Ladinian,230,235
Phanerozoic,Mesozoic,Triassic,Middle-Triassic,Anisian,235,240
Phanerozoic,Mesozoic,Triassic,Early-Triassic,,240,245
Phanerozoic,Mesozoic,Triassic,Early-Triassic,Scythian,240,245
Phanerozoic,Paleozoic,,,,245,570
Phanerozoic,Paleozoic,Permian,,,245,286
Phanerozoic,Paleozoic,Permian,Late-Permian,,245,258
Phanerozoic,Paleozoic,Permian,Late-Permian,Tatarian,245,253
Phanerozoic,Paleozoic,Permian,Late-Permian,Kazanian,253,258
,,,26,,,
