Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","
L.-,,,L,,,'----',,L,,,,,'-,,,,"""-----'",,,~,~,L..:,,,,,,,----J,--'
Table,,Analyses of selected samples (cont.),Analyses of selected samples (cont.),Analyses of selected samples (cont.),Analyses of selected samples (cont.),Analyses of selected samples (cont.),Analyses of selected samples (cont.),Analyses of selected samples (cont.),Analyses of selected samples (cont.),Analyses of selected samples (cont.),Analyses of selected samples (cont.),Analyses of selected samples (cont.),,,,,,,,,,,,,,,,,,
Sample,numbe r,numbe r,,,526,526,527,,S29,S29,531,532,,MI,M2,M3,M4,M5,,M6,M7,WI,W2,QI,Q2,,Q3,Q4,Q5,
,,,,,,,,,Weight,Weight,percent,of,total,sample,sample,Weight,percent,percent,total,sample,,,,Weight,percent,of,total,sample,,
Heavy,mi nerals,mi nerals,,,5.0,5.0,9.2,,6.0,6.0,9.1,11.6,,5.9,8.9,12.3,10.8,7.8,12.9,12.9,9.4,2.3,0.6,0.6,3.7,,0.6,5.9,3.6,
Gravel,,,,,0.03,0.03,0.83,0.83,0.36,0.36,0.82,2.25,,0.21,0.25,0.28,0.04,0.14,,0.37,0.03,2.36,0.87,28.21,19.52,35.07,35.07,2.09,0.44,
