Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”,Name: “Table 1 of 1 on page 20 of 23”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table,,Analyses of selected samples.,Analyses of selected samples.,Analyses of selected samples.,Analyses of selected samples.,Analyses of selected samples.,Analyses of selected samples.,Analyses of selected samples.,Analyses of selected samples.,,,,,,,,,,,,,,,,,,,,,,
,Sample,number:,number:,,,51,51A,,,52,53,,54,55,56,,57,58,59,510,511,512,515,516,517,519,520,521,522,524,525,
,,,,,,,,Weight,Weight,Weight,percent,of,total,sample,,,,,,,,,Weight,percent,of,tota 1,sample,,,,,
,Heavy,minerals,minerals,,,6.0,5. 6,,,3.9,4.1,,9.5,8.0,10.0,10.0,14.1,14.3,0.8,10.7,6.1,5.5,5. 5,16 . 6,8.7,7.3,6.7,4.4,3.8,6.2,6.8,
,Gravel,,,,,0.22,1.44,,,0.12,0.23,,0.77,0,0.04,0.04,0,0.47,13.41,5.89,0.05,0,0.44,0.89,0.64,TR,0,0.13,0.12,0,0.05,
,Sand,,,,97.80,97.80,97.51,,99.73,99.73,99.57,97.72,97.72,97.12,97.38,97.38,97.01,98.60,86.45,91.44,94.82,96.08,98.53,98.30,96.95,96.01,97.2598.76,97.2598.76,99.86,95.58,97.75,
,Mud,,,,,1. 97,1.04,,,0.15,0.20,,1.51,2.88,2.58,2.58,2.99,0.92,0.14,2.67,5.13,3.92,1.04,0.82,2.41,3.99,2.75,1.10,0.03,4.42,2. 19,
