Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”,Name: “Table 1 of 1 on page 19 of 23”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
•,,,,,,,,,,,,,,,
,,,,,,,,APPENDIX,APPENDIX,B,B,,,,
,,,,,,Location,Location,Location,of,5amples,5amples,,,,
,5ample,,Latitude,Latitude,Latitude,,Longitude,Longitude,,,,Loran-x,Loran-x,Loran-y,Loran-y
,,,0,•,,,0,•,,,,,,,
1,,,,,,,,,,,,,,,
,51,,37,4.85,4.85,,75,45.87,45.87,,,27132.001,27132.001,41403.615,41403.615
,51A,,37,4.91,4.91,,75,45.94,45.94,,,27132.422,27132.422,41404.254,41404.254
1,52,,37,5.04,5.04,,75,46.07,46.07,,,27133.162,27133.162,41405.462,41405.462
,53,,37,5.09,5.09,,75,46.12,46.12,,,27133.414,27133.414,41405.865,41405.865
,54,,37,5.26,5.26,,75,46.27,46.27,,,27134.400,27134.400,41407.593,41407.593
,55,,37,5.43,5.43,,75,46.44,46.44,,,27135.365,27135.365,41409.212,41409.212
,56,,37,5.59,5.59,,75,46.60,46.60,,,27136.347,27136.347,41410.744,41410.744
,57,,37,5.77,5.77,,75,46.77,46.77,,,27137.382,27137.382,41412.412,41412.412
,58,,37,5.93,5.93,,75,46.93,46.93,,,27138.361,27138.361,41413.991,41413.991
,59,,37,6.03,6.03,,75,47.04,47.04,,,27138.960,27138.960,41414.934,41414.934
,510,,37,6.10,6.10,,75,47.12,47.12,,,27139.485,27139.485,41415.686,41415.686
,511,,37,6.24,6.24,,75,47.25,47.25,,,27140.204,27140.204,41416.903,41416.903
,512,,37,6.08,6.08,,75,47.61,47.61,,,27141. 492,27141. 492,41414.553,41414.553
,515,,37,5.81,5.81,,75,47.35,47.35,,,27139.905,27139.905,41411.866,41411.866
,516,,37,5.74,5.74,,75,47.24,47.24,,,27139.337,27139.337,41411.195,41411.195
j,517,,37,5.66,5.66,,75,47.15,47.15,,,27138.783,27138.783,41410.593,41410.593
,519,,37,5.33,5.33,,75,46.84,46.84,,,27136.903,27136.903,41407.353,41407.353
,520,,37,5.15,5.15,,75,46.67,46.67,,,27135.856,27135.856,41405.526,41405.526
,521,,37,4.99,4.99,,75,46.51,46.51,,,27134.921,27134.921,41404.130,41404.130
,522,,37,4.17,4.17,,75,46.31,46.31,,,27132.582,27132.582,41395.098,41395.098
,524,,37,4.40,4.40,,75,46.48,46.48,,,27133.769,27133.769,41397.431,41397.431
,525,,37,4.54,4.54,,75,46.69,46.69,,,27134.815,27134.815,41398.573,41398.573
,526,,37,4.72,4.72,,75,46.86,46.86,,,27135.948,27135.948,41400.395,41400.395
,527,,37,4.89,4.89,,75,47.02,47.02,,,27136.819,27136.819,41401. 970,41401. 970
,529,,37,4.99,4.99,,75,47.12,47.12,,,27137.438,27137.438,41402.940,41402.940
,531,,37,5.15,5.15,,75,47.30,47.30,,,27138.497,27138.497,41404.381,41404.381
,532,,37,5.23,5.23,,75,47.36,47.36,,,27138.872,27138.872,41405.229,41405.229
,Ml,,37,5.02,5.02,,75,46.00,46.00,,,27132.851,27132.851,41405.370,41405.370
,M2,,37,5.19,5.19,,75,46.19,46.19,,,27133.901,27133.901,41406.873,41406.873
,~13,,37,5.34,5.34,,75,46.37,46.37,,,27134.977,27134.977,41408.330,41408.330
,M4,,37,5.51,5.51,,75,46.53,46.53,,,27135.984,27135.984,41410.038,41410.038
,M5,,37,5.68,5.68,,75,46.70,46.70,,,27136.954,27136.954,41411. 597,41411. 597
,~16,,37,5.86,5.86,,75,46.86,46.86,,,27137.933,27137.933,41413.302,41413.302
,M7,,37,6.26,6.26,,75,47.30,47.30,,,27140.532,27140.532,41417 .175,41417 .175
,01,,37,26.75,26.75,,75,34.99,34.99,,,27124.9,27124.9,41672.6,41672.6
,02,,37,26.58,26.58,,75,34.83,34.83,,,27123.8,27123.8,41670.9,41670.9
,03,,37,26.44,26.44,,75,34.70,34.70,,,27123.0,27123.0,41669.5,41669.5
,04,,37,26.21,26.21,,75,34.39,34.39,,,27121. 2,27121. 2,41667.4,41667.4
,05,,37,26.02,26.02,,75,34.15,34.15,,,27119.8,27119.8,41665.7,41665.7
J,WI,,37,33.94,33.94,,75,33.10,33.10,,,27130.0,27130.0,41757.7,41757.7
,W2,,37,33.88,33.88,,75,32.85,32.85,,,27128.8,27128.8,41757.4,41757.4
,Loran,coordinates,are,for,the,x and,y,slaves,,of,the,9960,chain.,,
j,Latitudes,and,longitudes,longitudes,were,obtained,obtained,from,automatic,automatic,automatic,conversion,conversion,of,loran
,coordinates,by,t he,loran,receiver-processor.,receiver-processor.,receiver-processor.,receiver-processor.,,,,,,,
,,,,,,,15,15,,,,,,,
