Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”,Name: “Table 1 of 1 on page 16 of 23”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,I
,,,,,,,,,,,,,,,,,,,,,,,,,,1
As,many,as,,four,acoustic,acoustic,acoustic,,horizons,horizons,can,be,,identified,identified,identified,identified,within,within,the,top,top,6 meters,6 meters,6 meters,
of,sediment.,sediment.,sediment.,,The,uppermost,uppermost,uppermost,,layer,(layer,(layer,,1),only,only,discontinously,discontinously,discontinously,discontinously,discontinously,covers,covers,covers,the,
lower,,strata.,strata.,,The,,seismic,seismic,record,record,suggests,suggests,suggests,,that,that,either,either,the,uppermost,uppermost,uppermost,uppermost,,layer,J
or,both,the,the,first,first,and,and,second,second,layers,layers,are,,of,Holocene,Holocene,Holocene,age.,age.,This,This,suggestion,suggestion,suggestion,suggestion,
is,based,,on,data,data,from,from,the,southeastern,southeastern,southeastern,southeastern,part,part,of,,line,"10,",where,where,layers,layers,layers,,1 and,
2,fill,a,channel,channel,channel,cut,cut,into,,the,older,older,strata.,strata.,strata.,,The,records,records,records,could,could,,also,be,I
interpreted,interpreted,interpreted,interpreted,such,such,that,that,the,first,first,layer,layer,(layer,(layer,,1),is,Holocene,Holocene,Holocene,in,age,,and,the,
second,second,layer,layer,,is,Pleistocene.,Pleistocene.,Pleistocene.,Pleistocene.,Pleistocene.,The,upper,upper,,layer,layer,(layer,(layer,,1),is,continuous,continuous,continuous,continuous,
throughout,throughout,throughout,,most,,of,the,"profile,","profile,","profile,",ranges,ranges,up,,to,3,meters,meters,and,and,averages,averages,averages,,about,
