Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”,Name: “Table 1 of 1 on page 18 of 23”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,1
,,,,,,APPENDIX,APPENDIX,A,,,,,,,
,,,,Location,Location,of,Track1ine,Track1ine,Endpoints,Endpoints,,,,,
,,,,,,,,,,,,,,,~
Waypoi nt,Line,No.,,"Latitude,","Latitude,",,"Longitude,","Longitude,",,Loran-x,Loran-x,Loran-x,Loran-y,Loran-y,
,,,,0,,,0,,,,,,,,
,,,,,,,,,,,,,,,I
WP1,,,,37,05.64,,75,47.78,,27141. 354,27141. 354,27141. 354,41409.119,41409.119,
\~P2,1,,,37,04.06,,75,46.25,,27131. 942,27131. 942,27131. 942,41393.960,41393.960,
WP3,,,,3704.15,3704.15,,75,46.15,,27131. 900,27131. 900,27131. 900,41395.200,41395.200,I
WP4,2,,,37,05.73,,75,47.75,,27141. 515,27141. 515,27141. 515,41410.244,41410.244,
WP5,,,,37,05.82,,75,47.72,,27141.467,27141.467,27141.467,41411. 230,41411. 230,
\~P6,3,,,37,04.23,,75,46.12,,27131. 913,27131. 913,27131. 913,41396.074,41396.074,
\~P7,,,,37,04.31,,75,46.10,,27131. 932,27131. 932,27131. 932,41397.111,41397.111,~
WP8,4,,,37,05.92,,75,47.70,,27141. 608,27141. 608,27141. 608,41412.546,41412.546,
WP9,,,,37,05.97,,75,47.62,,27141. 293,27141. 293,27141. 293,41413.176,41413.176,
WP10,5,,,37,04.42,,75,46.07,,27132.021,27132.021,27132.021,41398.323,41398.323,1
WPll,,,,37,04.50,,75,46.02,,2713 1. 961,2713 1. 961,2713 1. 961,41399.336,41399.336,
WP12,6,,,37,06.08,,75,47.61,,27141. 492,27141. 492,27141. 492,41414.553,41414.553,
WP13,,,,37,06.19,,75,47.52,,27141. 286,27141. 286,27141. 286,41415.994,41415.994,]
WP14,7,,,37,04.55,,75,45.97,,27131.802,27131.802,27131.802,41400.004,41400.004,
WP15,,,,37,04.69,,75,45.95,,27132.053,27132.053,27132.053,41401. 672,41401. 672,
WP16,8,,,37,06.27,,75,47.53,,27141. 513,27141. 513,27141. 513,41416.814,41416.814,
WP19,,,,37,04.87,,75,45.86,,27131. 923,27131. 923,27131. 923,41403.881,41403.881,J
WP20,10,,,37,06.43,,75,47.48,,27141. 638,27141. 638,27141. 638,41418.841,41418.841,
WP21,,,,37,06.53,,75,47.43,,27141. 564,27141. 564,27141. 564,41419.972,41419.972,
WP22,11,,,37,04.92,,75,45.81,,27131. 857,27131. 857,27131. 857,41404.511,41404.511,
WP2c,,,,37,05.06,,75,47.18,,27137.816,27137.816,27137.816,41403.589,41403.589,
WP3c,Cross,1,,37,05.10,,75,45.96,,27132.700,27132.700,27132.700,41406.333,41406.333,]
WP4c,,,,37,04.43,,75,46.08,,27132.081,27132.081,27132.081,41398.344,41398.344,
WP5c,Cross,2,,37,04.30,,75,46.45,,27133.413,27133.413,27133.413,41396.265,41396.265,
,,,,,,,,,,,,,,,]
Loran,coordinates,coordinates,are,for,the,x and,y,slaves,of,the,9960,chain.,,,
Latitudes,and,longitudes,longitudes,longitudes,were,obtained,obtained,from,automatic,automatic,conversion,conversion,of,loran,
coordinates,by,the,loran,loran,receiver-processor.,receiver-processor.,receiver-processor.,receiver-processor.,,,,,,,J
,,,,,,,,,,,,,,,]
,,,,,,,,,,,,,,,J
,,,,,,,,,,,,,,,J
,,,,,,,,,,,,,,,I
,,,,,,,,,,,,,,,I
,,,,,,,14,,,,,,,,
,,,,,,,,,,,,,,,I
