LAYER NAME,COLOR,LINE TYPE,LAYER DESCRIPTION
0,60,CONTINUOUS,AutoCAD DEFAULT LAYER
AIR READINGS,200,CONTINUOUS,AIR QUANTITY LABELS AT A GIVEN LOCATION
BELTS-EXISTING,40,CONTINUOUS,EXISTING CONVEYOR BELT
BELTS-PROPOSED,40,DASHED,PROPOSED / FUTURE CONVEYOR BELT
BOUNDARY-CITY,251,CENTER2,CITY LIMIT BOUNDARIES
BOUNDARY-COUNTY,90,CENTERX2,COUNTY LINES
BOUNDARY-MINE LIMITS,30,DASHDOT,LIMITS OF PROPOSED MINING EXTENTS
BOUNDARY-STATE,90,PHANTOMX2,STATE LINES
BUFFER ZONE-200,200,HIDDEN,200 FOOT BUFFER ZONES
BUFFER ZONE-50,180,HIDDEN,50 FOOT BUFFER ZONES
BUILDINGS,7,CONTINUOUS,HOUSES-BARNS-BUSINESSES-CHURCHES-SCHOOLS
CEMETERIES,7,DASHED2,CEMETERIES
CONTROL POINTS,242,CONTINUOUS,OUTSIDE SURVEY STATIONS  WITH LABELS - USED FOR LINKING TO UNDERGROUND SURVEYS
Defpoints,7,CONTINUOUS,AutoCAD DEFAULT LAYER
DIMENSIONS,10,CONTINUOUS,DIMENSIONS
DRILL HOLES,170,CONTINUOUS,ROTARY OR CORE TYPE EXPLORATION HOLES
ELEVATIONS-UPPER MASON-CONTOURS,175,CONTINUOUS,CONTOUR LINES OF THE MINE FLOOR
ELEVATIONS-UPPER MASON-SPOT,175,CONTINUOUS,MINE FLOOR SPOT ELEVATIONS
GAS WELLS-EXISTING-ACTIVE,30,CONTINUOUS,ACTIVE GAS WELL LOCATION
GAS WELLS-EXISTING-INACTIVE,11,CONTINUOUS,INACTIVE GAS WELL LOCATION
GAS WELLS-PROPOSED,171,CONTINUOUS,PROPOSED / FUTURE GAS WELL LOCATION
GEOGRAPHIC LABELS,7,CONTINUOUS,CITY / COMMUNITY / WATERSHED / MOUNTAIN NAMES
GRID COORDINATES-COMPANY OR OTHER ZONE,252,CONTINUOUS,COMPANY OR NON VA SOUTH NAD27 GRID LINES/TICS WITH LABELS
