X,Y,OBJECTID,CIP_ID,MAJOR_SECT,PROJECT_CL,RESPONSIBL,CIP_TITLE,HOUSE_DIST,COUNCIL_DIST,SENATE_DIST
-76.176764188112841,36.777871046165053,1,5-090,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LYNNHAVEN PARKWAY - PHASE X1 WATER IMPROVMENTS,21,,
-76.176764188112841,36.777871046165053,2,2-167,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LYNNHAVEN PARKWAY - PHASE XI,21,,
-76.153883062068815,36.773196861463973,3,5-149,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,INDIAN RIVER ROAD WATER IMPROVEMENTS - PH VII,21,,
-76.150121203323167,36.770264926530587,4,6-051,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,INDIAN RIVER RD. SEWER IMPROVEMENTS - PH VII,21,,
-76.181966355279371,36.886219352144316,5,7-036,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,BAKER ROAD CULVERT AND DITCH IMPROVEMENTS,83,,
-76.17919277899189,36.875068353458595,6,7-035,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,LAWSON FOREST DRAINAGE,90,,
-76.158071850543109,36.842115044296655,7,2-025,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,WITCHDUCK ROAD - PHASE II (FIRST CITIES PROJECT),85,,
-76.157296433773013,36.840999857548098,8,6-604,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,WITCHDUCK ROAD - PHASE II SEWER IMPROVEMENTS,85,,
-76.121033890068986,36.768659236715031,9,5-148,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,ELBOW ROAD EXTENDED WATER IMPROVEMENTS - PH 1 & II,21,,
-76.146398646769541,36.802279051614576,10,7-037,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,BELLAMY MANOR OUTFALL DITCH,21,,
-76.106346225866176,36.764315060376795,11,2-152,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,ELBOW ROAD EXTENDED PHASE II,21,,
-76.095692979147657,36.768186851563065,12,4-503,CULTURAL AND RECREATIONAL OPPORTUNITIES,PARKS AND RECREATION,PARKS AND RECREATION,PARKS & RECREATION CITY WIDE OFFICE RELOCATION,21,,
-76.089019641040309,36.766311911840909,13,4-080,CULTURAL AND RECREATIONAL OPPORTUNITIES,PARKS AND RECREATION,PARKS AND RECREATION,SPORTSPLEX RENEWAL & REPLACEMENT - PHASE I,84,,
-76.088750454577237,36.778462170997152,14,6-151,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,LANDSTOWN YARD IMPROVEMENTS - PHASE III,84,,
-76.08934040068219,36.780323914502645,15,5-151,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LANDSTOWN YARD IMPROVEMENTS - PH IV,84,,
-76.133539357800458,36.84259089453581,16,9-083,ECONOMIC VITALITY,ECONOMIC AND TOURISM,ECONOMIC DEVELOPMENT,TOWN CENTER GARAGE AND PLAZA CAPITAL MAINTENANCE,85,,
-76.135352004431894,36.870305315503089,17,1-233,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,OLD DONATION CENTER MODERNIZATION,83,,
-76.126225641269798,36.888113572758776,18,7-038,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,THROUGHGOOD,83,,
-76.108334127521331,36.874877145022126,19,8-005,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,WESTERN BRANCH LYNNHAVEN RIVER MAINT DREDGING,83,,
-76.104436741745403,36.907729054684665,20,2-118,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SHORE DRIVE IMPROVEMENTS (MARLIN BAY TO STRATFORD),83,,
-76.092021645429838,36.907551258214134,21,2-168,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LESNER BRIDGE REPLACEMENT,83,,
-76.078874787772023,36.910175994113089,22,2-117,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SHORE DRIVE IMPROVEMENTS PHASE III,82,,
-76.034976798613286,36.748899314000781,23,1-056,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,PRINCESS ANNE MIDDLE SCHOOL MODERNIZATION,84,,
-75.987371112832335,36.73562426005477,24,6-203,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,LOTUS GARDENS SEWER IMPROVEMENTS,81,,
-75.988775025111181,36.737007262393789,25,5-203,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LOTUS GARDENS WATER IMPROVEMENTS,81,,
-76.076964964986402,36.782299523818679,26,5-024,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC WORKS,HOLLAND ROAD - PHASE VI WATER IMPROVEMENTS (VDOT),84,,
-76.069654187743353,36.773043978369863,27,2-158,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,HOLLAND ROAD - PHASE VI,84,,
-76.057861967974418,36.76403508587385,28,6-057,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,HOLLAND ROAD - PHASE VI SEWER IMPROVEMENTS,84,,
-76.013304652228058,36.75829178373322,29,5-604,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,PRINCESS ANNE ROAD WATER IMPROV PH VII,84,,
-76.011628990592598,36.755971554319075,30,2-195,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,PRINCESS ANNE ROAD - PHASE VII,84,,
-76.061881529120555,36.897727562844231,31,1-035,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,JOHN B DEY ELEMENTARY SCHOOL MODERNIZATION,82,,
-76.021196814631409,36.841956167843229,32,2-072,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,FIRST COLONIAL RD/VA BEACH BLVD. INTERSECTION IMP.,81,,
-76.020520420053401,36.840867885277916,33,6-601,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,FIRST COLONIAL RD/ VA BEACH BLVD INTERSECTION IMP,81,,
-76.004330876001788,36.800881439602648,34,2-089,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SOUTHEASTERN PARKWAY & GREENBELT,81,,
-75.987424506896176,36.824182015281501,35,3-292,CULTURAL AND RECREATIONAL OPPORTUNITIES,BUILDINGS,MUSEUMS,VA AQUARIUM MARINE ANIMAL CARE CENTER (PARTIAL),81,,
-75.98559088999275,36.818239504773949,36,3-146,CULTURAL AND RECREATIONAL OPPORTUNITIES,BUILDINGS,PUBLIC WORKS,VA AQUARIUM BUILD. SYSTEMS REHAB & RENEWAL,81,,
-75.985701115074747,36.820005549701655,37,3-278,CULTURAL AND RECREATIONAL OPPORTUNITIES,BUILDINGS,MUSEUMS,VA AQUARIUM RENEWAL AND REPLACEMENT - PHASE II,81,,
-75.998391765112132,36.853747614716568,38,5-207,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LASKIN ROAD WATER IMPROVEMENTS - PH I,82,,
-75.998391765112132,36.853747614716568,39,2-156,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LASKIN ROAD - PHASE I,82,,
