X,Y,OBJECTID,ADDRKEY,STKEY,SEGKEY,MAPNO,SUBAREA,UNITID,XCOORD,YCOORD,HYD_ID,MAJOR,PIPEOF,SHAPE_1,TWIDTH,BWIDTH,HEIGHT,MATERIAL,TYPE,ORIG_TABLE,STRUC_ID,STRUC_TYPE,TOP_ELEV,EAST_PIPE_,WEST_PIPE_,NORTH_PIPE,SOUTH_PIPE,COMPKEY,YEAR_BUILT,P_CONF,STRUCT_NAM,COMPTYPE,SURVEY_ID,FLDSURVEY,BMP_ID,WTRSHD
-76.114496743745221,36.909507507296169,1,0,0,0, , ,SP28,12180317.698,3499427.85514, , , , ,0,0,0, ,SPILLW, , , ,0,0,0,0,0,1271518, , ,LAKE JOYCE,72, ,, ,0
-76.123766681944247,36.876850373981007,2,0,0,0, , ,SP18,12177907.5261,3487473.21921, , , , ,0,0,0, ,SPILLW, , , ,0,0,0,0,0,1271509, , ,WISHART COVE,72, ,, ,0
-76.121074892771816,36.868349682907706,3,0,0,0, , ,SP47,12178772.4604,3484399.05508, , , , ,0,0,0, ,SPILLW, , , ,0,0,0,0,0,1271532, , ,THOROUGHGOOD LAKE 4,72, ,, ,0
-76.121079054666481,36.862387647898338,4,0,0,0, , ,D01113,12178826.0374,3482229.1868, , , , ,0,0,0, ,DAM, , , ,0,0,0,0,0,1264922, , ,PEMBROKE MEADOWS WAYSIDE,72, ,, ,0
-76.127718894596939,36.855088384696579,5,0,0,0, , ,SP01112,12176950.8426,3479523.54858, , , , ,0,0,0, ,SPILLW, , , ,0,0,0,0,0,1271486, , ,EAST LAKE PEMBROKE,72, ,, ,0
-76.098222761650192,36.867269587362436,6,0,0,0, , ,SP27,12185465.3937,3484175.40228, , , , ,0,0,0, ,SPILLW, , , ,0,0,0,0,0,1271517, , ,QUEENS LAKE,72, ,, ,0
-76.076500394050683,36.853377173800688,7,0,0,0, , ,SP10,12191947.6437,3479281.43267, , , , ,0,0,0, ,SPILLW, , , ,0,0,0,0,0,1271546, , ,GREAT NECK LAKE 6,72, ,, ,0
-76.046208310643138,36.875339375756219,8,0,0,0,I5,LYN,SP12,12200578.4492,3487496.25907, , , , ,8,0,0, ,SPILLW, , , ,0,0,0,0,0,1271491, ,GPS,LAUREL COVE,72, ,,SU1498970000,5
-76.052369449138354,36.876884848894349,9,0,0,0, , ,SP49,12198783.8716,3488019.22549, , , , ,0,0,0, ,SPILLW, , , ,0,0,0,0,0,1271533, , ,GREAT NECK LAKE,72, ,, ,0
-76.053603933764748,36.872106495195474,10,0,0,0, , ,SP11A,12198467.9669,3486270.92084, , , , ,0,0,0, ,SPILLW, , , ,0,0,0,0,0,1271507, , ,LAKE TRANT,72, ,, ,0
