OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SHAPEarea,SHAPElen
16,51,810,046015,51810046015,460.15,Census Tract 460.15,G5020,S,6119242,122133,+36.7655219,-076.1059636,9745092.27654276,14315.174717399
17,51,810,045423,51810045423,454.23,Census Tract 454.23,G5020,S,40740056,1062070,+36.7294865,-076.0740558,65202221.1692689,39153.6759356608
18,51,810,046016,51810046016,460.16,Census Tract 460.16,G5020,S,5941323,0,+36.7516168,-076.1245870,9272827.20882879,18864.6348297852
19,51,810,045424,51810045424,454.24,Census Tract 454.24,G5020,S,16576554,8266,+36.7409197,-076.0098079,25874505.9969312,21220.5634502157
20,51,810,045412,51810045412,454.12,Census Tract 454.12,G5020,S,19163885,6169601,+36.7328686,-075.9584641,39511135.8981545,31504.1471288323
21,51,810,045807,51810045807,458.07,Census Tract 458.07,G5020,S,380977,0,+36.8195099,-076.1149033,595623.631512095,2996.63138915906
22,51,810,990100,51810990100,9901,Census Tract 9901,G5020,S,0,493661126,+36.8487400,-075.9723587,772361509.034826,195601.013214814
23,51,810,040200,51810040200,402,Census Tract 402,G5020,S,5080986,90610,+36.8849828,-076.1874510,8098438.32679406,16825.6037892981
24,51,810,046014,51810046014,460.14,Census Tract 460.14,G5020,S,2186823,59494,+36.7882746,-076.1193187,3508902.1356567,9380.97172588841
25,51,810,046221,51810046221,462.21,Census Tract 462.21,G5020,S,1144963,16329,+36.8046462,-076.2029051,1814849.86045266,7247.66908082706
26,51,810,046220,51810046220,462.20,Census Tract 462.20,G5020,S,2227749,17214,+36.8084240,-076.2128012,3508827.02958021,8810.22555581607
27,51,810,046223,51810046223,462.23,Census Tract 462.23,G5020,S,1340776,210918,+36.7918530,-076.1748152,2424025.49377082,6955.72031162904
28,51,810,046222,51810046222,462.22,Census Tract 462.22,G5020,S,3046675,42910,+36.7797447,-076.1767287,4825354.55432362,10671.9066905833
29,51,810,040404,51810040404,404.04,Census Tract 404.04,G5020,S,4631320,709404,+36.8805409,-076.1630485,8362835.94106587,11595.3558516048
30,51,810,040402,51810040402,404.02,Census Tract 404.02,G5020,S,1748578,0,+36.8673410,-076.1693866,2737147.22452767,8560.19713439671
31,51,810,040600,51810040600,406,Census Tract 406,G5020,S,3486721,73737,+36.8526764,-076.1659246,5571062.40303532,11416.949195423
32,51,810,041004,51810041004,410.04,Census Tract 410.04,G5020,S,1754778,0,+36.8487195,-076.1462805,2745521.63462049,6944.82282866444
33,51,810,041002,51810041002,410.02,Census Tract 410.02,G5020,S,1887705,0,+36.8396319,-076.1473144,2952801.6590573,7213.0550334325
34,51,810,041200,51810041200,412,Census Tract 412,G5020,S,6012101,1003919,+36.8908467,-076.1500134,10988991.2599779,16416.3502463914
35,51,810,046225,51810046225,462.25,Census Tract 462.25,G5020,S,2756453,0,+36.7828171,-076.1361586,4305378.11563599,8826.23021663604
36,51,810,043400,51810043400,434,Census Tract 434,G5020,S,1417243,0,+36.9022985,-075.9920946,2220499.8114437,9464.1460676893
37,51,810,043600,51810043600,436,Census Tract 436,G5020,S,1256968,141556,+36.8826119,-075.9901227,2190019.46702394,6768.44001995738
38,51,810,043800,51810043800,438,Census Tract 438,G5020,S,4397375,922765,+36.8718938,-075.9944617,8328913.28101204,13280.0925845773
39,51,810,044001,51810044001,440.01,Census Tract 440.01,G5020,S,1605232,43939,+36.8518508,-075.9933587,2580498.96168055,7522.47901969379
40,51,810,045000,51810045000,450,Census Tract 450,G5020,S,21468385,0,+36.8137728,-076.0309111,33558982.17872,29446.6507107802
41,51,810,044401,51810044401,444.01,Census Tract 444.01,G5020,S,4387126,1051417,+36.8665862,-076.0543382,8513155.06236057,12735.5137083654
42,51,810,044402,51810044402,444.02,Census Tract 444.02,G5020,S,3593816,28478,+36.8664248,-076.0367756,5669741.04662771,11103.9304155925
43,51,810,044600,51810044600,446,Census Tract 446,G5020,S,8147380,3356727,+36.8684653,-076.0239995,18010318.4054876,21215.3691181499
44,51,810,044807,51810044807,448.07,Census Tract 448.07,G5020,S,2075831,48994,+36.8506281,-076.0352130,3324579.63461947,8576.75547152365
45,51,810,045803,51810045803,458.03,Census Tract 458.03,G5020,S,1801771,0,+36.8184811,-076.1326396,2816840.64815907,7982.27260140824
46,51,810,046009,51810046009,460.09,Census Tract 460.09,G5020,S,3909338,372314,+36.8343457,-076.1732303,6696668.03728597,11914.9755697527
47,51,810,046002,51810046002,460.02,Census Tract 460.02,G5020,S,3775281,277300,+36.8191786,-076.1785836,6336046.73453514,12508.4349488054
48,51,810,046005,51810046005,460.05,Census Tract 460.05,G5020,S,3428871,52921,+36.8255102,-076.1468322,5444646.47331466,10242.6055084017
49,51,810,046006,51810046006,460.06,Census Tract 460.06,G5020,S,3138155,0,+36.8141783,-076.1514179,4905563.87026972,10487.6674635114
50,51,810,044805,51810044805,448.05,Census Tract 448.05,G5020,S,1572221,68725,+36.8475037,-076.0220791,2567350.46350246,9746.3526204497
51,51,810,044806,51810044806,448.06,Census Tract 448.06,G5020,S,2842105,96657,+36.8420490,-076.0203577,4597166.63018332,12991.266005465
52,51,810,044808,51810044808,448.08,Census Tract 448.08,G5020,S,1463426,304004,+36.8476906,-076.0542850,2765220.23909328,7918.47549669673
53,51,810,045414,51810045414,454.14,Census Tract 454.14,G5020,S,1911678,0,+36.8116152,-076.0889339,2988129.4838441,7568.84519264777
54,51,810,045200,51810045200,452,Census Tract 452,G5020,S,11977421,625888,+36.7973983,-075.9751353,19691286.4879039,28325.9138171646
55,51,810,045415,51810045415,454.15,Census Tract 454.15,G5020,S,936054,0,+36.8136818,-076.0778344,1463213.69185797,5419.46241175126
56,51,810,045405,51810045405,454.05,Census Tract 454.05,G5020,S,1632446,0,+36.8027175,-076.0941490,2551080.44247713,6629.09281909861
57,51,810,045406,51810045406,454.06,Census Tract 454.06,G5020,S,4492448,63376,+36.7894017,-076.0863535,7117205.16210837,14571.0024677059
58,51,810,045407,51810045407,454.07,Census Tract 454.07,G5020,S,9154779,73480,+36.8092753,-076.0635655,14425896.2204933,22575.9178354372
59,51,810,045408,51810045408,454.08,Census Tract 454.08,G5020,S,9585071,0,+36.7851537,-076.0192770,14972097.4259002,16715.8421092392
60,51,810,045417,51810045417,454.17,Census Tract 454.17,G5020,S,9118267,17574,+36.7721463,-076.0363832,14265232.6046238,18345.2696691018
61,51,810,045810,51810045810,458.10,Census Tract 458.10,G5020,S,693108,0,+36.7986333,-076.1048042,1083028.09668676,4752.33694839575
62,51,810,045601,51810045601,456.01,Census Tract 456.01,G5020,S,2050953,603066,+36.8512854,-076.1157115,4152768.86502337,9957.31032859777
63,51,810,045805,51810045805,458.05,Census Tract 458.05,G5020,S,634694,0,+36.8269154,-076.1014545,992477.21257389,4404.93189815429
64,51,810,045801,51810045801,458.01,Census Tract 458.01,G5020,S,3261380,308880,+36.8324324,-076.1180834,5583257.67439743,12187.270767166
65,51,810,046211,51810046211,462.11,Census Tract 462.11,G5020,S,2136039,0,+36.8037380,-076.1653026,3338142.31369789,7448.97873676226
66,51,810,046012,51810046012,460.12,Census Tract 460.12,G5020,S,2433021,0,+36.8022597,-076.1209840,3802113.0073004,8459.48696155151
67,51,810,046013,51810046013,460.13,Census Tract 460.13,G5020,S,1357695,49325,+36.7915959,-076.1080712,2198151.53892734,7694.26566131131
68,51,810,046204,51810046204,462.04,Census Tract 462.04,G5020,S,4745355,751851,+36.8247280,-076.2068293,8595324.06799736,14019.1793786413
69,51,810,044200,51810044200,442,Census Tract 442,G5020,S,6555252,296488,+36.8305498,-075.9903042,10715357.3093612,16796.8787995887
70,51,810,045420,51810045420,454.20,Census Tract 454.20,G5020,S,5197416,0,+36.7495981,-075.9931597,8111031.97014383,14884.4633523845
71,51,810,045806,51810045806,458.06,Census Tract 458.06,G5020,S,1372045,0,+36.8200899,-076.1048152,2145102.57718589,6073.55805304613
72,51,810,045808,51810045808,458.08,Census Tract 458.08,G5020,S,905464,0,+36.8131735,-076.1182299,1415383.47755251,4925.52655316759
73,51,810,045809,51810045809,458.09,Census Tract 458.09,G5020,S,1972984,0,+36.8085632,-076.1068110,3083725.85068797,7365.66313906741
74,51,810,046010,51810046010,460.10,Census Tract 460.10,G5020,S,1307217,73056,+36.8343687,-076.1870935,2158810.4308598,5650.17765338887
75,51,810,046011,51810046011,460.11,Census Tract 460.11,G5020,S,1017764,0,+36.8106830,-076.1320875,1590820.61301052,5220.7274732957
76,51,810,046206,51810046206,462.06,Census Tract 462.06,G5020,S,2933257,21453,+36.8078449,-076.1830207,4618082.95941189,9570.46061500678
77,51,810,046213,51810046213,462.13,Census Tract 462.13,G5020,S,1561833,68844,+36.7914401,-076.1552514,2547573.4732584,7192.28100438391
78,51,810,046207,51810046207,462.07,Census Tract 462.07,G5020,S,6397617,344940,+36.7902737,-076.1945427,10533705.4515737,14079.7195023687
79,51,810,046400,51810046400,464,Census Tract 464,G5020,S,226743285,108566095,+36.6212580,-075.9994074,521560278.57374,94700.1534071707
80,51,810,040000,51810040000,400,Census Tract 400,G5020,S,7232324,2071426,+36.9111455,-076.1639485,14582050.0184,17673.2358995966
81,51,810,040403,51810040403,404.03,Census Tract 404.03,G5020,S,1949370,569587,+36.8973185,-076.1713180,3946108.17709195,8759.12424247587
82,51,810,040802,51810040802,408.02,Census Tract 408.02,G5020,S,2275562,0,+36.8609576,-076.1553183,3561471.74000306,8366.15403733486
83,51,810,041003,51810041003,410.03,Census Tract 410.03,G5020,S,2250331,191154,+36.8526893,-076.1336573,3820312.10572391,9875.5786825773
84,51,810,041801,51810041801,418.01,Census Tract 418.01,G5020,S,1992953,228851,+36.9086254,-076.1362419,3481623.70975363,9733.24480757787
85,51,810,041802,51810041802,418.02,Census Tract 418.02,G5020,S,4068691,1440341,+36.9108224,-076.1124731,8633789.95188403,22482.9449233235
86,51,810,042802,51810042802,428.02,Census Tract 428.02,G5020,S,1913514,47187,+36.8313857,-076.0776679,3066458.11671012,9199.43307464844
87,51,810,042801,51810042801,428.01,Census Tract 428.01,G5020,S,2898679,0,+36.8265125,-076.0881085,4532662.39432812,9764.86283953629
88,51,810,046212,51810046212,462.12,Census Tract 462.12,G5020,S,2558079,64797,+36.8025659,-076.1463777,4098665.49462729,10212.9683391191
89,51,810,046214,51810046214,462.14,Census Tract 462.14,G5020,S,1999480,0,+36.7923742,-076.1385003,3123815.23223725,7736.31467510424
90,51,810,046216,51810046216,462.16,Census Tract 462.16,G5020,S,3495015,0,+36.7704340,-076.1369759,5457213.86236406,10245.015398429
91,51,810,046219,51810046219,462.19,Census Tract 462.19,G5020,S,1339109,0,+36.7719390,-076.1947037,2091011.77893282,6381.3695798692
92,51,810,046217,51810046217,462.17,Census Tract 462.17,G5020,S,4675555,976160,+36.7689349,-076.1650951,8824153.2001607,13734.5204592732
93,51,810,044004,51810044004,440.04,Census Tract 440.04,G5020,S,1335695,0,+36.8507221,-075.9796456,2089932.39609004,6774.95748958575
94,51,810,045604,51810045604,456.04,Census Tract 456.04,G5020,S,2222525,0,+36.8368673,-076.1198351,3476288.00013361,10222.1776873436
95,51,810,043003,51810043003,430.03,Census Tract 430.03,G5020,S,1552373,414876,+36.9075852,-076.0777217,3082686.83122762,8083.46200387264
96,51,810,043004,51810043004,430.04,Census Tract 430.04,G5020,S,2141936,1314614,+36.9073066,-076.0531072,5416608.91366018,11380.3929462733
97,51,810,044003,51810044003,440.03,Census Tract 440.03,G5020,S,2819638,484423,+36.8320088,-075.9769103,5167281.34259896,10996.2177293441
98,51,810,045426,51810045426,454.26,Census Tract 454.26,G5020,S,5146816,0,+36.7764570,-075.9969195,8035351.22989414,16560.6773187559
99,51,810,045427,51810045427,454.27,Census Tract 454.27,G5020,S,4290159,357760,+36.7742633,-075.9817119,7257973.27781831,14660.4096580892
100,51,810,045428,51810045428,454.28,Census Tract 454.28,G5020,S,3845520,125561,+36.7934487,-075.9876614,6204437.45704585,14777.6217414888
