OBJECTID,FTR_CODE,VDOT,SPEEDLIMIT,PRE_DIR,PRE_TYPE,ST_NAME,ST_TYPE,SUF_DIR,LADD_FR,LADD_TO,RADD_FR,RADD_TO,FULLNAME,LBLOCK,HBLOCK,ONEWAY,CLASS,BLOCK,ADDTYP,ROW,SHAPElen
17405,Navigable Streets,Local Streets- Public,25,,,29TH BAY,STREET,,9501,9531,9500,9530,29TH BAY STREET,9500,9500,signed oneway,Minor,9500,0,residential,337.705856
19090,Navigable Streets,Local Streets- Private,25,,,BURTON STATION,ROAD,,6101,6103,6101,6103,BURTON STATION ROAD,6100,6100,bidirectional,Private,6100,0,not permitted,376.51537
16235,Navigable Streets,Minor Arterials,35, , ,NORVIEW,AVENUE, ,0,0,1200,1298,NORVIEW AVENUE,1200,1200,divided oneway,Major,1200,0,arterial/collector,751.382357
17764,Navigable Streets,Principal Arterials,35, , ,TIDEWATER,DRIVE, ,0,0,0,0,TIDEWATER DRIVE,1400,1400,divided oneway,Major,1400,0,arterial/collector,261.680138
19091,Navy Streets,Base Roads,25, , ,BLANDY,ROAD, ,0,0,0,0,BLANDY ROAD,0,0,bidirectional,Naval Base,0,0,not permitted,310.179897
16238,Navigable Streets,Minor Arterials,35, , ,NORVIEW,AVENUE, ,0,0,0,0,NORVIEW AVENUE,1200,1200,divided oneway,Major,1200,0,arterial/collector,476.256502
19094,Navigable Streets,Local Streets- Public,30, , ,WATER,STREET, ,0,0,0,0,WATER STREET,1100,1100,divided oneway,Minor,1100,0,arterial/collector,173.697317
17766,Navigable Streets,Principal Arterials,35, , ,TIDEWATER,DRIVE, ,0,0,0,0,TIDEWATER DRIVE,1800,1800,divided oneway,Major,1800,0,arterial/collector,397.498322
16236,Navigable Streets,Interstate,55, , ,I-64E,HIGHWAY, ,0,0,0,0,I-64E HIGHWAY,0,0,divided oneway,Interstate,0,0,arterial/collector,1699.54676
17044,Navigable Streets,Local Streets- Public,25, , ,WOODLAND,AVENUE, ,3032,3080,0,0,WOODLAND AVENUE,3000,3000,bidirectional,Minor,3000,0,residential,561.09144
19095,Navigable Streets,Local Streets- Public,30,,,WATER,STREET,,0,0,0,0,WATER STREET,1100,1100,divided oneway,Minor,1100,0,arterial/collector,104.150845
