geography,label
51,"Virginia"
51000441,"Southwestern Virginia LWIA I"
51000442,"New River/Mt. Rogers LWIA II"
51000443,"Western Virginia LWIA III"
51000444,"Shenandoah Valley LWIA IV"
51000446,"Piedmont Workforce Network LWIA VI"
51000447,"Region 2000/Central VA LWIA VII"
51000448,"South Central LWIA VIII"
51000449,"Capital Region Workforce Partnership LWIA IX"
51000451,"Northern Virginia LWIA XI"
51000452,"Alexandria/Arlington LWIA XII"
51000453,"Bay Consortium LWIA XIII"
51000454,"Greater Peninsula LWIA XIV"
51000455,"Crater Area LWIA XV"
51000456,"Hampton Roads LWIA XVI"
51000457,"West Piedmont LWIA XVII"
51001,"Accomack, VA"
51003,"Albemarle, VA"
51005,"Alleghany, VA"
51007,"Amelia, VA"
51009,"Amherst, VA"
51011,"Appomattox, VA"
51013,"Arlington, VA"
51015,"Augusta, VA"
51017,"Bath, VA"
51019,"Bedford, VA"
51021,"Bland, VA"
51023,"Botetourt, VA"
51025,"Brunswick, VA"
51027,"Buchanan, VA"
51029,"Buckingham, VA"
51031,"Campbell, VA"
51033,"Caroline, VA"
51035,"Carroll, VA"
51036,"Charles City, VA"
51037,"Charlotte, VA"
51041,"Chesterfield, VA"
51043,"Clarke, VA"
51045,"Craig, VA"
51047,"Culpeper, VA"
51049,"Cumberland, VA"
51051,"Dickenson, VA"
51053,"Dinwiddie, VA"
51057,"Essex, VA"
51059,"Fairfax, VA"
51061,"Fauquier, VA"
51063,"Floyd, VA"
51065,"Fluvanna, VA"
51067,"Franklin, VA"
51069,"Frederick, VA"
51071,"Giles, VA"
51073,"Gloucester, VA"
51075,"Goochland, VA"
51077,"Grayson, VA"
51079,"Greene, VA"
51081,"Greensville, VA"
51083,"Halifax, VA"
51085,"Hanover, VA"
51087,"Henrico, VA"
51089,"Henry, VA"
51091,"Highland, VA"
51093,"Isle of Wight, VA"
51095,"James City, VA"
51097,"King and Queen, VA"
51099,"King George, VA"
51101,"King William, VA"
51103,"Lancaster, VA"
51105,"Lee, VA"
51107,"Loudoun, VA"
51109,"Louisa, VA"
51111,"Lunenburg, VA"
51113,"Madison, VA"
51115,"Mathews, VA"
51117,"Mecklenburg, VA"
51119,"Middlesex, VA"
51121,"Montgomery, VA"
51125,"Nelson, VA"
51127,"New Kent, VA"
51131,"Northampton, VA"
51133,"Northumberland, VA"
51135,"Nottoway, VA"
51137,"Orange, VA"
51139,"Page, VA"
5113980,"Blacksburg-Christiansburg-Radford, VA"
51141,"Patrick, VA"
5114140,"Bluefield, WV-VA (VA part)"
51143,"Pittsylvania, VA"
51145,"Powhatan, VA"
51147,"Prince Edward, VA"
51149,"Prince George, VA"
51153,"Prince William, VA"
51155,"Pulaski, VA"
51157,"Rappahannock, VA"
51159,"Richmond, VA"
51161,"Roanoke, VA"
51163,"Rockbridge, VA"
51165,"Rockingham, VA"
51167,"Russell, VA"
5116820,"Charlottesville, VA"
51169,"Scott, VA"
51171,"Shenandoah, VA"
51173,"Smyth, VA"
51175,"Southampton, VA"
51177,"Spotsylvania, VA"
51179,"Stafford, VA"
51181,"Surry, VA"
51183,"Sussex, VA"
51185,"Tazewell, VA"
51187,"Warren, VA"
5119020,"Culpeper, VA"
51191,"Washington, VA"
5119260,"Danville, VA"
51193,"Westmoreland, VA"
51195,"Wise, VA"
51197,"Wythe, VA"
51199,"York, VA"
5125500,"Harrisonburg, VA"
5128700,"Kingsport-Bristol-Bristol, TN-VA (VA part)"
5131340,"Lynchburg, VA"
5132300,"Martinsville, VA"
5140060,"Richmond, VA"
5140220,"Roanoke, VA"
5144420,"Staunton-Waynesboro, VA"
5147260,"Virginia Beach-Norfolk-Newport News, VA-NC (VA part)"
5147900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (VA part)"
5149020,"Winchester, VA-WV (VA part)"
51510,"Alexandria, VA"
51515,"Bedford, VA"
51520,"Bristol, VA"
51530,"Buena Vista, VA"
51540,"Charlottesville, VA"
51550,"Chesapeake, VA"
51570,"Colonial Heights, VA"
51580,"Covington, VA"
51590,"Danville, VA"
51595,"Emporia, VA"
51600,"Fairfax, VA"
51610,"Falls Church, VA"
51620,"Franklin, VA"
51630,"Fredericksburg, VA"
51640,"Galax, VA"
51650,"Hampton, VA"
51660,"Harrisonburg, VA"
51670,"Hopewell, VA"
51678,"Lexington, VA"
51680,"Lynchburg, VA"
51683,"Manassas, VA"
51685,"Manassas Park, VA"
51690,"Martinsville, VA"
51700,"Newport News, VA"
51710,"Norfolk, VA"
51720,"Norton, VA"
51730,"Petersburg, VA"
51735,"Poquoson, VA"
51740,"Portsmouth, VA"
51750,"Radford, VA"
51760,"Richmond, VA"
51770,"Roanoke, VA"
51775,"Salem, VA"
51790,"Staunton, VA"
51800,"Suffolk, VA"
51810,"Virginia Beach, VA"
51820,"Waynesboro, VA"
51830,"Williamsburg, VA"
51840,"Winchester, VA"
5199999,"Nonmetropolitan, nonmicropolitan"
